task,item_id,entity_type,entity,correct,intuitive,intuitive_2,question,prefix,population_correct,population_intuitive,population_ratio,condition,correct_first,query,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_intuitive_first_token,logits_intuitive,logits_deltas_intuitive,mean_logprob_correct,mean_logprob_intuitive,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_intuitive,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_intuitive,first_logprob_response,first_logprob_response_isCorrect,control_entropy_first_token,control_rank_correct_first_token,control_logits_correct,control_logits_deltas_correct,control_rank_intuitive_first_token,control_logits_intuitive,control_logits_deltas_intuitive,control_mean_logprob_correct,control_mean_logprob_intuitive,control_mean_logprob_response,control_mean_logprob_response_isCorrect,control_sum_logprob_correct,control_sum_logprob_intuitive,control_sum_logprob_response,control_sum_logprob_response_isCorrect,control_first_logprob_correct,control_first_logprob_intuitive,control_first_logprob_response,control_first_logprob_response_isCorrect,control_model_input
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",10,8.823652,146,"[4.115124225616455, 2.38736891746521, 1.162238359451294]","[-0.9338499307632446, -1.4188803434371948, -1.4431873559951782]",26940,[-1.2769415378570557],[1.0673083066940308],-8.666781,-12.966413,correct,True,-26.000343,-12.966413,intuitive,False,-7.5743475,-12.966413,correct,True,8.496716,4191,"[1.595319390296936, 0.22642087936401367, 0.8101391196250916]","[3.555774450302124, -0.6159593462944031, 1.0306466817855835]",11280,[0.5275043845176697],[-1.1562995910644531],-11.105304,-11.065386,intuitive,False,-33.31591,-11.065386,intuitive,False,-9.99757,-11.065386,correct,True,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",11,8.716779,510,"[3.378803253173828, 1.5417300462722778, 0.5612198114395142]","[-0.6330075263977051, 0.09400499612092972, -2.118474245071411]",23179,[-0.6627453565597534],[-0.8931183218955994],-9.415183,-12.434188,correct,True,-28.245548,-12.434188,intuitive,False,-8.392639,-12.434188,correct,True,8.677572,1362,"[2.654578685760498, -0.0957988053560257, 1.1094857454299927]","[0.5865600109100342, -0.13662780821323395, -1.8812850713729858]",16860,[0.11936575919389725],[0.1849856823682785],-10.742669,-11.645004,correct,True,-32.22801,-11.645004,intuitive,False,-9.109792,-11.645004,correct,True,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",12,8.071341,885,"[2.859670400619507, 1.4438995122909546, -0.23575469851493835]","[-0.8493573665618896, -0.6290832757949829, 0.038236502557992935]",24678,[-1.055808663368225],[2.508913993835449],-9.978267,-12.796021,correct,True,-29.9348,-12.796021,intuitive,False,-8.880542,-12.796021,correct,True,8.112896,1515,"[2.5716898441314697, -0.14683978259563446, 0.4202021658420563]","[-1.510006070137024, 2.4403204917907715, -0.44868025183677673]",16543,[0.17058561742305756],[0.07608761638402939],-11.071774,-11.7091675,correct,True,-33.21532,-11.7091675,intuitive,False,-9.3080635,-11.7091675,correct,True,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",13,7.327013,1923,"[2.2999706268310547, 0.9153921008110046, -0.20485223829746246]","[-1.0938720703125, 2.7049214839935303, -0.3798205852508545]",13888,[0.2126462757587433],[2.2037248611450195],-10.537826,-11.738827,correct,True,-31.613476,-11.738827,intuitive,False,-9.651503,-11.738827,correct,True,8.418892,3836,"[1.8049346208572388, 0.937502384185791, 0.2255392223596573]","[0.25697797536849976, 1.7546298503875732, -1.2328884601593018]",15929,[0.180998295545578],[-0.9494759440422058],-10.967944,-11.588386,correct,True,-32.90383,-11.588386,intuitive,False,-9.964449,-11.588386,correct,True,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",14,7.541427,6653,"[1.4741530418395996, 1.9906162023544312, -0.3140539824962616]","[0.3614096939563751, 2.0293729305267334, 1.0143624544143677]",7699,[1.3054100275039673],[2.7576098442077637],-10.670398,-10.926344,correct,True,-32.011192,-10.926344,intuitive,False,-10.757602,-10.926344,correct,True,7.8743043,3462,"[1.7540394067764282, 1.575921893119812, -0.17878024280071259]","[-1.3586630821228027, 0.5927116870880127, 0.5877822637557983]",17763,[-0.12258423119783401],[-0.07975740730762482],-10.803592,-11.875017,correct,True,-32.410774,-11.875017,intuitive,False,-9.998393,-11.875017,correct,True,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",15,2.0253983,5656,"[1.5036184787750244, 2.751279830932617, 0.07513637840747833]","[3.6816461086273193, 0.28442543745040894, 3.218177556991577]",1839,[2.5323526859283447],[10.41245174407959],-10.764572,-11.2734995,correct,True,-32.293716,-11.2734995,intuitive,False,-12.302234,-11.2734995,intuitive,False,7.7450776,8183,"[1.1809914112091064, 1.7744874954223633, 0.0662485733628273]","[-1.3791496753692627, -0.20057883858680725, 2.9891316890716553]",19973,[-0.13940218091011047],[0.4770815670490265],-10.93455,-12.163422,correct,True,-32.80365,-12.163422,intuitive,False,-10.843028,-12.163422,correct,True,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",16,0.3463731,1384,"[3.1685290336608887, 2.696018695831299, 1.081571102142334]","[1.9844582080841064, 3.387406826019287, 4.183773994445801]",19,[7.53701639175415],[3.952157735824585],-10.808228,-9.120133,intuitive,False,-32.424683,-9.120133,intuitive,False,-13.48862,-9.120133,intuitive,False,6.656251,13114,"[0.5571946501731873, 1.568711519241333, 0.9437447190284729]","[-0.5927664041519165, 3.839830160140991, 4.746713161468506]",17810,[0.050001949071884155],[-0.07252718508243561],-10.924823,-12.166587,correct,True,-32.774467,-12.166587,intuitive,False,-11.659394,-12.166587,correct,True,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",17,2.4507625,557,"[3.7665510177612305, 3.892436981201172, 2.2037594318389893]","[-1.9237656593322754, 2.541001081466675, 1.4022884368896484]",8,[8.620680809020996],[1.2685202360153198],-8.996629,-5.3111653,intuitive,False,-26.989887,-5.3111653,intuitive,False,-10.165295,-5.3111653,intuitive,False,3.9292703,15077,"[0.17723749577999115, 3.107449769973755, 2.071120500564575]","[-1.9323946237564087, 2.78434419631958, 0.45105135440826416]",16666,[0.006997051183134317],[-0.8056662678718567],-10.553559,-12.9780245,correct,True,-31.660677,-12.9780245,intuitive,False,-12.807784,-12.9780245,correct,True,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",18,0.77279645,1290,"[2.8373777866363525, 4.490000247955322, 2.4556796550750732]","[1.2070233821868896, 3.847618579864502, 6.180824279785156]",8,[8.676908493041992],[3.9876232147216797],-9.600792,-6.478523,intuitive,False,-28.802376,-6.478523,intuitive,False,-12.318054,-6.478523,intuitive,False,4.026946,18309,"[-0.3565349578857422, 3.9127464294433594, 2.034259796142578]","[1.1064157485961914, 3.225184679031372, 5.533764362335205]",17037,[-0.21202726662158966],[-0.2545020282268524],-10.467053,-13.027736,correct,True,-31.40116,-13.027736,intuitive,False,-13.172243,-13.027736,intuitive,False,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",19,0.5089327,1638,"[2.921631097793579, 5.2929863929748535, 4.297711372375488]","[1.1221355199813843, 11.205619812011719, 1.5387938022613525]",11,[9.048978805541992],[8.343856811523438],-9.615902,-8.427918,intuitive,False,-28.847706,-8.427918,intuitive,False,-14.555266,-8.427918,intuitive,False,3.340972,14845,"[-0.005196908954530954, 4.538685321807861, 3.5343027114868164]","[-1.6406221389770508, 0.8441607356071472, 0.7336131930351257]",17190,[-0.26420822739601135],[1.5083340406417847],-10.053748,-13.407007,correct,True,-30.161243,-13.407007,intuitive,False,-13.147996,-13.407007,correct,True,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",20,0.28469598,1210,"[3.026920795440674, 8.990009307861328, 4.252597808837891]","[6.363934516906738, 3.8787522315979004, 0.2593030333518982]",7,[11.081331253051758],[10.3067045211792],-8.845203,-7.3538766,intuitive,False,-26.53561,-7.3538766,intuitive,False,-15.408288,-7.3538766,intuitive,False,2.3930984,19144,"[-0.4739673435688019, 4.420060157775879, 3.1852805614471436]","[-0.07503324747085571, 3.585789918899536, 0.284177303314209]",13080,[0.19733698666095734],[3.889958381652832],-11.1213045,-13.843713,correct,True,-33.363914,-13.843713,intuitive,False,-14.5150175,-13.843713,intuitive,False,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",21,0.077361666,260,"[4.757636547088623, 9.166913986206055, 4.100814342498779]","[4.777383327484131, 5.5657148361206055, 2.584968090057373]",4,[13.188983917236328],[7.425556182861328],-8.750541,-6.524318,intuitive,False,-26.251621,-6.524318,intuitive,False,-14.955665,-6.524318,intuitive,False,2.342212,19027,"[-0.4400824308395386, 5.029027938842773, 3.120316505432129]","[0.583742618560791, 6.300974369049072, 1.9241130352020264]",5137,[1.307498574256897],[1.132063865661621],-11.20917,-13.24886,correct,True,-33.62751,-13.24886,intuitive,False,-14.996442,-13.24886,intuitive,False,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",22,0.36116892,148,"[5.679286003112793, 9.670513153076172, 4.683255672454834]","[6.77611780166626, 5.497316360473633, 6.949774265289307]",2,[13.961069107055664],[5.427845001220703],-7.537494,-3.9682128,intuitive,False,-22.612482,-3.9682128,intuitive,False,-12.249996,-3.9682128,intuitive,False,1.7577032,14347,"[-0.21219921112060547, 6.339709281921387, 3.542301654815674]","[0.8353791832923889, 3.5885603427886963, 7.48249626159668]",3156,[1.4743553400039673],[2.5403943061828613],-10.847066,-13.12456,correct,True,-32.5412,-13.12456,intuitive,False,-14.811115,-13.12456,intuitive,False,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",23,1.0367157,71,"[7.141886234283447, 10.254537582397461, 6.432280540466309]","[3.9994561672210693, 5.4230055809021, 5.991601943969727]",2,[14.157541275024414],[10.200383186340332],-6.2422466,-2.468627,intuitive,False,-18.72674,-2.468627,intuitive,False,-9.4842825,-2.468627,intuitive,False,1.6417124,14043,"[-0.0012392993085086346, 6.704275608062744, 5.251235008239746]","[-2.080230474472046, 4.995144844055176, 5.599554538726807]",2276,[1.935755729675293],[1.1109986305236816],-10.556522,-12.838194,correct,True,-31.669567,-12.838194,intuitive,False,-14.775188,-12.838194,intuitive,False,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",24,1.5008912,45,"[7.592960834503174, 10.786036491394043, 7.823728561401367]","[7.022587299346924, 6.043169021606445, 4.0943803787231445]",2,[15.791044235229492],[5.6468024253845215],-5.7386856,-0.993308,intuitive,False,-17.216057,-0.993308,intuitive,False,-9.191392,-0.993308,intuitive,False,1.5138847,17440,"[-0.4810861349105835, 7.5205302238464355, 6.459820747375488]","[0.753713846206665, 5.250787734985352, 5.1927032470703125]",1843,[2.0319619178771973],[-0.03380744904279709],-9.901859,-13.068553,correct,True,-29.705578,-13.068553,intuitive,False,-15.581601,-13.068553,intuitive,False,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",25,0.8874063,22,"[8.74187183380127, 11.517485618591309, 8.534934043884277]","[5.478636264801025, 8.206439018249512, 2.172271966934204]",2,[16.204153060913086],[8.884857177734375],-5.2574105,-1.8464088,intuitive,False,-15.772232,-1.8464088,intuitive,False,-9.30869,-1.8464088,intuitive,False,1.1159842,15371,"[-0.3009590804576874, 8.23813533782959, 7.460092544555664]","[2.3008651733398438, 3.6436800956726074, 3.744443893432617]",2047,[1.9053301811218262],[1.8203372955322266],-9.760058,-13.757481,correct,True,-29.280174,-13.757481,intuitive,False,-15.96377,-13.757481,intuitive,False,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",26,1.4257874,18,"[9.501734733581543, 12.611706733703613, 8.708599090576172]","[12.28182315826416, 9.868247985839844, 4.998258113861084]",1,[17.325355529785156],[7.699890613555908],-4.603104,-0.7719868,intuitive,False,-13.809313,-0.7719868,intuitive,False,-8.595608,-0.7719868,intuitive,False,0.31640756,10076,"[0.23721061646938324, 8.545440673828125, 7.979625701904297]","[1.6450486183166504, 8.623738288879395, 3.865647315979004]",1387,[2.163134813308716],[1.5022339820861816],-9.496979,-14.240275,correct,True,-28.490936,-14.240275,intuitive,False,-16.166199,-14.240275,intuitive,False,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",27,0.9496174,8,"[12.07264518737793, 14.085915565490723, 9.537391662597656]","[11.649896621704102, 5.290558815002441, 5.747637748718262]",1,[18.328001022338867],[-6.572207927703857],-3.711197,-0.32135355,intuitive,False,-11.133591,-0.32135355,intuitive,False,-6.5767093,-0.32135355,intuitive,False,0.3162811,8077,"[0.4903918206691742, 10.07536792755127, 8.516775131225586]","[-0.731468141078949, 5.685085773468018, 4.0798869132995605]",1164,[2.3119282722473145],[-1.3380354642868042],-9.086255,-14.425411,correct,True,-27.258766,-14.425411,intuitive,False,-16.246946,-14.425411,intuitive,False,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",28,1.4210927,3,"[14.27678108215332, 14.310057640075684, 10.48828125]","[9.142945289611816, 7.5598602294921875, 2.4434454441070557]",2,[15.683765411376953],[-3.1677322387695312],-1.7714161,-1.3215966,intuitive,False,-5.314248,-1.3215966,intuitive,False,-2.728581,-1.3215966,intuitive,False,0.33577493,8508,"[0.33988985419273376, 10.690244674682617, 9.042481422424316]","[-0.5018264055252075, 4.7522969245910645, 3.1010541915893555]",1522,[1.9608644247055054],[0.9747733473777771],-8.02102,-14.533821,correct,True,-24.06306,-14.533821,intuitive,False,-16.154795,-14.533821,intuitive,False,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",29,1.2231332,2,"[15.63135051727295, 15.159660339355469, 10.702879905700684]","[1.497041940689087, 6.645867347717285, 7.79097843170166]",3,[14.224682807922363],[-5.06933069229126],-1.1978742,-2.8901622,correct,True,-3.5936227,-2.8901622,intuitive,False,-1.4834944,-2.8901622,correct,True,0.3315928,9358,"[0.2487115114927292, 11.233139991760254, 9.412250518798828]","[-0.7476100921630859, 4.205325126647949, 7.899443626403809]",1439,[2.0322656631469727],[1.4645812511444092],-7.59927,-14.360132,correct,True,-22.79781,-14.360132,intuitive,False,-16.143686,-14.360132,intuitive,False,The capital
