task,item_id,entity_type,entity,correct,intuitive,intuitive_2,question,prefix,population_correct,population_intuitive,population_ratio,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_intuitive_first_token,logits_intuitive,logits_deltas_intuitive,mean_logprob_correct,mean_logprob_intuitive,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_intuitive,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_intuitive,first_logprob_response,first_logprob_response_isCorrect,control_entropy_first_token,control_rank_correct_first_token,control_logits_correct,control_logits_deltas_correct,control_rank_intuitive_first_token,control_logits_intuitive,control_logits_deltas_intuitive,control_mean_logprob_correct,control_mean_logprob_intuitive,control_mean_logprob_response,control_mean_logprob_response_isCorrect,control_sum_logprob_correct,control_sum_logprob_intuitive,control_sum_logprob_response,control_sum_logprob_response_isCorrect,control_first_logprob_correct,control_first_logprob_intuitive,control_first_logprob_response,control_first_logprob_response_isCorrect,control_model_input
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,10,9.172228,23230,"[-0.7122162580490112, 1.0742857456207275, 2.1029865741729736]","[0.05685369297862053, 1.332934856414795, -1.0771843194961548]",7,[5.812934398651123],[-1.2603496313095093],-10.593508,-5.7908535,intuitive,False,-31.780523,-5.7908535,intuitive,False,-12.316005,-5.7908535,intuitive,False,8.84192,25823,"[-1.2190513610839844, -0.18231059610843658, 2.441601037979126]","[-0.37864062190055847, 2.002847194671631, -1.6828597784042358]",12360,[0.32318952679634094],[-0.14652971923351288],-11.060024,-11.112707,correct,True,-33.180073,-11.112707,intuitive,False,-12.654949,-11.112707,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,11,9.178455,23120,"[-0.6296038627624512, 1.4852088689804077, 1.5511552095413208]","[2.3648195266723633, -0.812408983707428, 1.987501859664917]",39,[4.831751346588135],[1.16650390625],-10.682114,-6.8309226,intuitive,False,-32.04634,-6.8309226,intuitive,False,-12.292278,-6.8309226,intuitive,False,9.03505,26285,"[-1.19576895236969, 0.5466638803482056, 1.684332013130188]","[-0.07887471467256546, 0.2729204297065735, 2.8700311183929443]",13848,[0.2427985966205597],[0.5783594846725464],-11.16598,-11.215282,correct,True,-33.49794,-11.215282,intuitive,False,-12.653851,-11.215282,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,12,9.203296,15002,"[0.37336403131484985, 1.0888229608535767, 2.101679801940918]","[2.586599826812744, -0.35794246196746826, -0.09928398579359055]",32,[4.905446529388428],[0.988789975643158],-10.394047,-6.8299537,intuitive,False,-31.18214,-6.8299537,intuitive,False,-11.362036,-6.8299537,intuitive,False,9.025662,25997,"[-1.0749671459197998, 0.597888708114624, 2.5443665981292725]","[0.5139845609664917, -0.7141563296318054, -0.6872820854187012]",12913,[0.391271710395813],[0.8473652005195618],-10.888115,-11.128415,correct,True,-32.664345,-11.128415,intuitive,False,-12.594653,-11.128415,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,13,9.272824,6419,"[1.4110997915267944, 0.821014404296875, 1.9336825609207153]","[-0.11698796600103378, -0.25545534491539, -0.8944576382637024]",35,[4.872000694274902],[-0.09646278619766235],-10.247743,-6.794882,intuitive,False,-30.743229,-6.794882,intuitive,False,-10.255785,-6.794882,intuitive,False,8.9593935,24375,"[-0.9094080328941345, 0.2562660574913025, 2.183657169342041]","[1.7352821826934814, -1.1771398782730103, 1.030672311782837]",10703,[0.5999056100845337],[2.1368281841278076],-11.101849,-10.903734,intuitive,False,-33.305546,-10.903734,intuitive,False,-12.413048,-10.903734,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,14,9.200488,7696,"[1.2799545526504517, 0.6716942191123962, 1.5408951044082642]","[0.8405707478523254, -0.10518482327461243, 2.857997417449951]",84,[4.524817943572998],[-1.880791187286377],-10.522611,-7.239355,intuitive,False,-31.567833,-7.239355,intuitive,False,-10.4842205,-7.239355,intuitive,False,8.324151,20612,"[-0.3217121660709381, -0.1628645658493042, 2.384373664855957]","[0.12477893382310867, 0.6366955041885376, 2.268862009048462]",7390,[1.155187726020813],[-3.2588729858398438],-11.088384,-10.6629505,intuitive,False,-33.265152,-10.6629505,intuitive,False,-12.139851,-10.6629505,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,15,9.188608,5784,"[1.4715754985809326, 0.6006850004196167, 2.3403024673461914]","[0.5232115983963013, 1.2109555006027222, 1.685936689376831]",333,[3.654172420501709],[1.0879086256027222],-10.139691,-8.014988,intuitive,False,-30.419075,-8.014988,intuitive,False,-10.197586,-8.014988,intuitive,False,8.341179,19684,"[-0.2707565724849701, 0.04213854670524597, 2.9024598598480225]","[1.4642747640609741, -1.4904217720031738, 1.6888716220855713]",13884,[0.32343727350234985],[2.2001733779907227],-10.779279,-11.410348,correct,True,-32.337837,-11.410348,intuitive,False,-12.004542,-11.410348,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,16,9.173896,5088,"[1.5272986888885498, 0.995812714099884, 2.674288272857666]","[2.6608211994171143, -2.033646583557129, 1.2861281633377075]",284,[3.7251956462860107],[5.20198392868042],-9.794231,-7.886882,intuitive,False,-29.382694,-7.886882,intuitive,False,-10.08478,-7.886882,intuitive,False,8.451084,15969,"[0.08681982010602951, -0.4250211715698242, 3.1693716049194336]","[1.169752836227417, -0.5911815762519836, 1.2576215267181396]",9222,[0.8046404123306274],[0.33301129937171936],-10.628508,-10.855137,correct,True,-31.885523,-10.855137,intuitive,False,-11.572957,-10.855137,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,17,9.088351,1687,"[2.333606481552124, 0.21884821355342865, 3.0016043186187744]","[-0.10006748139858246, 0.3063797056674957, 2.5354740619659424]",17,[5.244154930114746],[3.6370537281036377],-9.732665,-6.2436914,intuitive,False,-29.197994,-6.2436914,intuitive,False,-9.154242,-6.2436914,intuitive,False,8.564522,13408,"[0.3437407612800598, -0.5781334042549133, 3.457979440689087]","[-1.245381236076355, -1.4841450452804565, 2.425032615661621]",8960,[0.8319956660270691],[0.8808872103691101],-10.468389,-10.782553,correct,True,-31.405165,-10.782553,intuitive,False,-11.270808,-10.782553,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,18,8.921227,1902,"[2.228909492492676, 0.3204805254936218, 3.521771192550659]","[-2.224189281463623, -2.6121363639831543, 1.7649638652801514]",5,[6.1817755699157715],[-0.8611597418785095],-9.548799,-5.3376927,intuitive,False,-28.646397,-5.3376927,intuitive,False,-9.29056,-5.3376927,intuitive,False,8.59392,16692,"[0.03381016105413437, -0.9773663282394409, 3.9042561054229736]","[0.738887369632721, 0.050811517983675, 1.1649353504180908]",8002,[0.9692041277885437],[-0.47013771533966064],-10.517228,-10.648141,correct,True,-31.551685,-10.648141,intuitive,False,-11.583534,-10.648141,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,19,9.018744,4138,"[1.446378231048584, -0.6568776965141296, 3.797240734100342]","[0.7720447182655334, 0.5702560544013977, -0.4351714849472046]",10,[5.628715515136719],[-0.37949874997138977],-9.91713,-5.7344747,intuitive,False,-29.751392,-5.7344747,intuitive,False,-9.916813,-5.7344747,intuitive,False,8.882865,13512,"[0.18226692080497742, -0.9097834825515747, 3.952087640762329]","[-0.8921692371368408, 1.9492740631103516, -0.9970781207084656]",7785,[0.831434428691864],[2.3769047260284424],-10.337681,-10.53953,correct,True,-31.013042,-10.53953,intuitive,False,-11.188697,-10.53953,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,20,8.986252,3372,"[1.6036298274993896, -0.41257306933403015, 3.4545516967773438]","[0.38306257128715515, 0.7865696549415588, 0.9921849370002747]",15,[5.242266654968262],[-2.240406036376953],-10.024554,-6.1106534,intuitive,False,-30.073662,-6.1106534,intuitive,False,-9.74929,-6.1106534,intuitive,False,8.944745,16038,"[0.008069584146142006, -0.3848024308681488, 3.4019429683685303]","[-0.05671242997050285, -1.3880552053451538, 1.802422046661377]",5444,[1.2242482900619507],[0.2910739779472351],-10.619587,-10.192526,intuitive,False,-31.85876,-10.192526,intuitive,False,-11.408704,-10.192526,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,21,9.0044365,3160,"[1.6433714628219604, -0.14193475246429443, 3.5974342823028564]","[0.4364895522594452, -0.817899763584137, -0.7368148565292358]",69,[4.3054890632629395],[1.8296526670455933],-9.705612,-7.028957,intuitive,False,-29.116837,-7.028957,intuitive,False,-9.691074,-7.028957,intuitive,False,8.917447,16886,"[-0.0034171126317232847, -0.6986053586006165, 3.731215476989746]","[0.8236488699913025, 0.04409772902727127, 0.002980104647576809]",5914,[1.207586646080017],[1.6457022428512573],-10.506639,-10.27158,intuitive,False,-31.519915,-10.27158,intuitive,False,-11.482584,-10.27158,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,22,9.072018,3754,"[1.671165943145752, -0.3820243179798126, 3.27583646774292]","[0.13872581720352173, -1.3404461145401, 0.5034891963005066]",52,[4.57737922668457],[-1.0764795541763306],-9.95087,-6.9212613,intuitive,False,-29.852608,-6.9212613,intuitive,False,-9.827475,-6.9212613,intuitive,False,8.815321,16293,"[0.13372176885604858, -0.669872522354126, 3.599668264389038]","[2.032554864883423, -0.5137556791305542, -0.12588386237621307]",5062,[1.4282729625701904],[1.3235098123550415],-10.513933,-10.164523,intuitive,False,-31.5418,-10.164523,intuitive,False,-11.459075,-10.164523,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,23,9.143484,3893,"[1.62502920627594, -0.778193473815918, 3.323174476623535]","[-0.3204520344734192, 1.1790086030960083, 2.3139185905456543]",138,[4.027487277984619],[-1.0720821619033813],-10.046023,-7.426629,intuitive,False,-30.13807,-7.426629,intuitive,False,-9.829088,-7.426629,intuitive,False,8.611749,12180,"[0.5459215641021729, -0.7608984112739563, 3.524440050125122]","[2.0701894760131836, 1.7944811582565308, 1.1591278314590454]",4240,[1.6092097759246826],[-1.6281793117523193],-10.478903,-10.061768,intuitive,False,-31.436708,-10.061768,intuitive,False,-11.125057,-10.061768,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,24,9.144879,4588,"[1.4054492712020874, -0.38154083490371704, 3.7373690605163574]","[-0.46747511625289917, -2.7984259128570557, -1.3879880905151367]",309,[3.402968645095825],[-0.36278998851776123],-9.808474,-7.9852076,intuitive,False,-29.42542,-7.9852076,intuitive,False,-9.982728,-7.9852076,intuitive,False,8.719009,8443,"[0.9390763640403748, -0.3051222562789917, 3.675647020339966]","[0.29420262575149536, -0.38117071986198425, -2.9557080268859863]",6336,[1.2294323444366455],[0.5619411468505859],-10.104598,-10.382886,correct,True,-30.313795,-10.382886,intuitive,False,-10.673242,-10.382886,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,25,9.140486,6381,"[1.1954485177993774, -1.3051140308380127, 3.321965217590332]","[1.70308518409729, 0.2200658917427063, 2.3553130626678467]",614,[3.108046770095825],[3.159384250640869],-10.373863,-8.400197,intuitive,False,-31.12159,-8.400197,intuitive,False,-10.312796,-8.400197,intuitive,False,8.500547,7716,"[0.9727194309234619, -0.3930686414241791, 2.913022994995117]","[-0.5631399750709534, -1.5975093841552734, 2.261902332305908]",5372,[1.3102614879608154],[-0.861419677734375],-10.347929,-10.289534,intuitive,False,-31.043787,-10.289534,intuitive,False,-10.627076,-10.289534,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,26,9.149496,3741,"[1.602838158607483, -1.1834546327590942, 3.8039309978485107]","[2.302560329437256, 1.8805547952651978, -1.304885745048523]",172,[3.8244824409484863],[2.102548360824585],-9.983258,-7.592119,intuitive,False,-29.949774,-7.592119,intuitive,False,-9.813765,-7.592119,intuitive,False,8.647053,8448,"[0.8351889252662659, -0.7701584696769714, 3.357241153717041]","[0.3861604928970337, 3.286771774291992, -0.3850627541542053]",6385,[1.1059502363204956],[1.0111854076385498],-10.253445,-10.414428,correct,True,-30.760334,-10.414428,intuitive,False,-10.685189,-10.414428,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,27,9.154054,2047,"[2.091778516769409, -0.5891106128692627, 3.2811267375946045]","[-0.4975641965866089, 0.7067168951034546, 1.253380298614502]",94,[4.154451847076416],[-2.3953137397766113],-9.789037,-7.242513,intuitive,False,-29.367111,-7.242513,intuitive,False,-9.305186,-7.242513,intuitive,False,8.541847,7822,"[0.8679545521736145, 0.1434764415025711, 3.1225264072418213]","[-0.50226229429245, 0.21519534289836884, 1.5354191064834595]",5310,[1.2502137422561646],[-1.0879812240600586],-9.994087,-10.264965,correct,True,-29.982262,-10.264965,intuitive,False,-10.647224,-10.264965,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,28,9.131948,2725,"[1.8617455959320068, -0.388395220041275, 3.4589359760284424]","[-0.016011783853173256, -0.18787600100040436, 3.1659107208251953]",361,[3.348612070083618],[-0.566290557384491],-9.799577,-8.049884,intuitive,False,-29.398731,-8.049884,intuitive,False,-9.536751,-8.049884,intuitive,False,8.441897,8612,"[0.7404098510742188, 0.18314479291439056, 3.3659090995788574]","[-0.31245851516723633, -0.0167398639023304, 3.9851186275482178]",6656,[0.9990031719207764],[0.6308526396751404],-9.974547,-10.51246,correct,True,-29.923641,-10.51246,intuitive,False,-10.771053,-10.51246,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,29,9.11824,2784,"[1.761966586112976, -0.41435232758522034, 4.0560173988342285]","[-1.2199134826660156, -0.45482227206230164, 0.2944338619709015]",464,[3.0409350395202637],[1.5728919506072998],-9.601907,-8.274451,intuitive,False,-28.80572,-8.274451,intuitive,False,-9.553421,-8.274451,intuitive,False,7.556541,8634,"[0.6289957165718079, 0.1745869517326355, 4.121559143066406]","[-0.6150689125061035, -1.8793925046920776, 2.2220094203948975]",5554,[1.0672993659973145],[-0.4327094256877899],-9.760396,-10.509885,correct,True,-29.281187,-10.509885,intuitive,False,-10.948188,-10.509885,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,30,9.128618,4681,"[1.4140416383743286, -0.5008221864700317, 3.9630842208862305]","[1.4548414945602417, 2.5117437839508057, 0.11032240837812424]",417,[3.2983474731445312],[1.716433048248291],-9.846261,-8.135748,intuitive,False,-29.538782,-8.135748,intuitive,False,-10.020055,-8.135748,intuitive,False,7.7569523,10961,"[0.4662618935108185, -0.20996439456939697, 4.452395439147949]","[1.341030240058899, 3.5145654678344727, 0.820850133895874]",7341,[0.9136257767677307],[-1.1900346279144287],-9.913403,-10.75873,correct,True,-29.740208,-10.75873,intuitive,False,-11.206095,-10.75873,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,31,9.133686,3539,"[1.6997870206832886, 0.04890851303935051, 3.8457324504852295]","[2.2772860527038574, 0.5585957765579224, 0.48223957419395447]",278,[3.5946314334869385],[0.047652505338191986],-9.553208,-7.863016,intuitive,False,-28.659624,-7.863016,intuitive,False,-9.75786,-7.863016,intuitive,False,7.9628234,9358,"[0.6869083642959595, 0.5167953968048096, 4.453034400939941]","[0.9482789039611816, 0.9402700662612915, 1.1644749641418457]",9613,[0.657724916934967],[-1.9880815744400024],-9.499975,-11.00767,correct,True,-28.499926,-11.00767,intuitive,False,-10.978487,-11.00767,correct,True,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,32,9.123952,1994,"[2.1444807052612305, 0.16615132987499237, 3.6966445446014404]","[1.1281204223632812, -1.217278003692627, -0.0731433629989624]",326,[3.4481871128082275],[0.46531015634536743],-9.424952,-7.9902925,intuitive,False,-28.274855,-7.9902925,intuitive,False,-9.294,-7.9902925,intuitive,False,8.063288,7868,"[0.8257206082344055, 0.6842170357704163, 4.4403767585754395]","[-0.888594925403595, -2.619143486022949, -1.6083083152770996]",12344,[0.29236963391304016],[-1.1618674993515015],-9.38077,-11.294868,correct,True,-28.14231,-11.294868,intuitive,False,-10.761518,-11.294868,correct,True,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,33,9.073255,1522,"[2.328352212905884, -0.12582927942276, 3.603757381439209]","[2.6037261486053467, 1.638682246208191, 0.5209582448005676]",331,[3.415189266204834],[8.263513565063477],-9.423818,-8.00964,intuitive,False,-28.271454,-8.00964,intuitive,False,-9.096476,-8.00964,intuitive,False,7.83729,8920,"[0.6298818588256836, 0.07697246223688126, 4.021953105926514]","[-0.6589822173118591, 3.32947039604187, 2.532820701599121]",13963,[0.062359001487493515],[-0.2573891878128052],-9.741998,-11.513338,correct,True,-29.225994,-11.513338,intuitive,False,-10.945814,-11.513338,correct,True,The capital
