task,item_id,entity_type,entity,correct,intuitive,intuitive_2,question,prefix,population_correct,population_intuitive,population_ratio,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_intuitive_first_token,logits_intuitive,logits_deltas_intuitive,mean_logprob_correct,mean_logprob_intuitive,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_intuitive,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_intuitive,first_logprob_response,first_logprob_response_isCorrect,control_entropy_first_token,control_rank_correct_first_token,control_logits_correct,control_logits_deltas_correct,control_rank_intuitive_first_token,control_logits_intuitive,control_logits_deltas_intuitive,control_mean_logprob_correct,control_mean_logprob_intuitive,control_mean_logprob_response,control_mean_logprob_response_isCorrect,control_sum_logprob_correct,control_sum_logprob_intuitive,control_sum_logprob_response,control_sum_logprob_response_isCorrect,control_first_logprob_correct,control_first_logprob_intuitive,control_first_logprob_response,control_first_logprob_response_isCorrect,control_model_input
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,10,8.180753,10094,"[1.3629586696624756, 1.157189965248108, 0.8035197854042053]","[0.7422819137573242, 0.965009868144989, 4.304111957550049]",1490,[3.5783185958862305],[1.514670968055725],-11.4145355,-9.120275,intuitive,False,-34.243607,-9.120275,intuitive,False,-11.335635,-9.120275,intuitive,False,8.663125,18249,"[-0.1574048548936844, 2.028092861175537, 0.9411736726760864]","[0.5998072624206543, 0.8408573269844055, 3.028268575668335]",2435,[2.6283788681030273],[-0.8874312043190002],-11.442258,-9.473405,intuitive,False,-34.326775,-9.473405,intuitive,False,-12.259188,-9.473405,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,11,8.486839,8000,"[1.60804283618927, 1.5238310098648071, 2.1721174716949463]","[0.1903344839811325, 0.16885334253311157, 2.9613349437713623]",762,[4.024594783782959],[-1.6717184782028198],-10.54707,-8.48986,intuitive,False,-31.641209,-8.48986,intuitive,False,-10.906412,-8.48986,intuitive,False,8.673618,15311,"[0.05308496579527855, 2.3244359493255615, 1.8546088933944702]","[-0.1983421891927719, 3.8509159088134766, 2.895420551300049]",3483,[2.0762336254119873],[2.679265260696411],-10.717486,-9.817375,intuitive,False,-32.15246,-9.817375,intuitive,False,-11.840525,-9.817375,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,12,8.414801,6777,"[1.5772567987442017, 1.4962832927703857, 3.0016653537750244]","[0.9172998070716858, 1.5803266763687134, 0.8173990249633789]",1746,[3.0505728721618652],[-0.028378747403621674],-10.231002,-9.225624,intuitive,False,-30.693005,-9.225624,intuitive,False,-10.69894,-9.225624,intuitive,False,8.690169,15589,"[-0.00845362339168787, 3.6096179485321045, 2.690469741821289]","[2.3048980236053467, 1.1718544960021973, 0.3784853518009186]",1604,[2.7579989433288574],[1.738250494003296],-10.0480585,-9.096725,intuitive,False,-30.144176,-9.096725,intuitive,False,-11.863178,-9.096725,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,13,8.517477,5362,"[1.8520593643188477, 2.004016399383545, 3.034919023513794]","[0.919195830821991, -2.3937628269195557, 1.700216293334961]",2088,[2.821680784225464],[5.858087539672852],-9.926272,-9.361673,intuitive,False,-29.778818,-9.361673,intuitive,False,-10.331296,-9.361673,intuitive,False,8.474599,9864,"[0.9709991812705994, 3.9183197021484375, 2.581641435623169]","[0.2595483958721161, -1.8207576274871826, 2.0789895057678223]",1324,[3.150419235229492],[-0.7098859548568726],-9.730994,-9.001709,intuitive,False,-29.192982,-9.001709,intuitive,False,-11.181129,-9.001709,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,14,8.279625,3340,"[2.131309747695923, 0.8874000906944275, 3.4367289543151855]","[2.692089557647705, 5.808984756469727, 1.5712660551071167]",90,[5.022830486297607],[0.6888545155525208],-10.029194,-7.0095983,intuitive,False,-30.087582,-7.0095983,intuitive,False,-9.901119,-7.0095983,intuitive,False,7.7647543,9197,"[0.9972773194313049, 2.940720796585083, 3.0977203845977783]","[1.1737130880355835, 5.294352054595947, 2.4930644035339355]",1939,[2.7319061756134033],[0.5473330020904541],-9.92624,-9.516574,intuitive,False,-29.778719,-9.516574,intuitive,False,-11.251203,-9.516574,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,15,8.067357,975,"[2.9726011753082275, 3.080489158630371, 3.57072114944458]","[4.454921245574951, 4.884432315826416, 0.954028308391571]",81,[4.768611907958984],[4.641124725341797],-8.915248,-7.032198,intuitive,False,-26.745743,-7.032198,intuitive,False,-8.82821,-7.032198,intuitive,False,6.653354,6299,"[1.3486648797988892, 4.837483882904053, 3.590139627456665]","[2.620878219604492, 5.600396156311035, 1.346834659576416]",2292,[2.439910888671875],[-2.3026323318481445],-8.917328,-9.914055,correct,True,-26.751984,-9.914055,intuitive,False,-11.005302,-9.914055,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,16,7.4515567,232,"[4.46687650680542, 4.6317219734191895, 3.493195056915283]","[0.8509801030158997, 5.248239517211914, 5.337263584136963]",33,[6.026923179626465],[7.4812397956848145],-8.45362,-6.264148,intuitive,False,-25.36086,-6.264148,intuitive,False,-7.824195,-6.264148,intuitive,False,4.2525554,2453,"[2.1760404109954834, 6.570451736450195, 3.626016139984131]","[0.5604072213172913, 4.310166358947754, 5.2166056632995605]",5826,[1.2541784048080444],[2.11051869392395],-8.803974,-11.74879,correct,True,-26.411922,-11.74879,intuitive,False,-10.826928,-11.74879,correct,True,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,17,1.5157541,479,"[4.2012038230896, 5.981771945953369, 4.94671630859375]","[5.769250392913818, 6.4921722412109375, 5.962779998779297]",10,[8.450103759765625],[4.116699695587158],-8.424567,-6.417726,intuitive,False,-25.2737,-6.417726,intuitive,False,-10.666622,-6.417726,intuitive,False,3.1970148,2269,"[2.1161296367645264, 7.665620803833008, 5.0830302238464355]","[2.3168859481811523, 5.598134994506836, 4.895442008972168]",2872,[1.8810852766036987],[2.250051736831665],-8.052501,-11.476094,correct,True,-24.157501,-11.476094,intuitive,False,-11.241053,-11.476094,correct,True,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,18,0.6393772,75,"[5.8577470779418945, 7.463535308837891, 6.492091655731201]","[2.7824153900146484, 6.444370269775391, 2.4786367416381836]",13,[8.817831993103027],[11.719717025756836],-7.8242307,-7.6699686,intuitive,False,-23.472692,-7.6699686,intuitive,False,-10.6300535,-7.6699686,intuitive,False,3.761139,1461,"[2.6050453186035156, 8.724681854248047, 6.134849548339844]","[1.160010814666748, 4.8817291259765625, 2.9461793899536133]",1874,[2.377603769302368],[1.4633229970932007],-7.5833187,-10.925243,correct,True,-22.749956,-10.925243,intuitive,False,-10.697803,-10.925243,correct,True,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,19,1.0425322,64,"[6.234433650970459, 8.455599784851074, 6.744144916534424]","[10.173303604125977, 6.554927349090576, 7.446553707122803]",3,[11.93072509765625],[12.366545677185059],-7.0516763,-4.0448675,intuitive,False,-21.15503,-4.0448675,intuitive,False,-9.741152,-4.0448675,intuitive,False,4.2807794,1682,"[2.659998655319214, 9.367546081542969, 6.5291948318481445]","[1.0014631748199463, 6.1258320808410645, 7.1630635261535645]",1909,[2.5491573810577393],[3.074957847595215],-7.2484565,-10.7687845,correct,True,-21.745369,-10.7687845,intuitive,False,-10.657945,-10.7687845,correct,True,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,20,1.1902933,21,"[9.056373596191406, 9.349370002746582, 8.950825691223145]","[4.752248287200928, 6.778860092163086, 3.5709593296051025]",4,[14.629839897155762],[5.7830915451049805],-5.5785966,-3.4654021,intuitive,False,-16.73579,-3.4654021,intuitive,False,-9.0388565,-3.4654021,intuitive,False,2.5835433,1741,"[2.6246538162231445, 10.063315391540527, 8.739828109741211]","[0.059739939868450165, 2.096705675125122, 3.161914825439453]",1012,[3.1758370399475098],[0.552322506904602],-6.787724,-11.574294,correct,True,-20.363173,-11.574294,intuitive,False,-12.125475,-11.574294,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,21,0.9024429,18,"[9.463007926940918, 10.38367748260498, 9.387350082397461]","[4.220991611480713, 8.750288963317871, 5.3198065757751465]",4,[14.633973121643066],[3.045069694519043],-5.3422475,-4.5712075,intuitive,False,-16.026743,-4.5712075,intuitive,False,-9.742167,-4.5712075,intuitive,False,2.8743908,2231,"[2.341153144836426, 9.515597343444824, 9.086634635925293]","[0.9439043402671814, 7.618780136108398, 5.978777885437012]",1196,[2.9728055000305176],[0.6997342109680176],-7.0633926,-11.5115385,correct,True,-21.190178,-11.5115385,intuitive,False,-12.1431875,-11.5115385,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,22,1.0717187,12,"[9.731904983520508, 11.799314498901367, 10.5744047164917]","[13.151493072509766, 9.663787841796875, 2.54451322555542]",3,[14.023913383483887],[16.45555877685547],-3.811525,-2.904625,intuitive,False,-11.434575,-2.904625,intuitive,False,-7.1966305,-2.904625,intuitive,False,1.7763146,2124,"[2.389923095703125, 10.771900177001953, 10.646987915039062]","[-0.20959080755710602, 5.551295757293701, 3.053523063659668]",1261,[2.912776470184326],[3.8794898986816406],-6.508261,-12.45339,correct,True,-19.524784,-12.45339,intuitive,False,-12.976245,-12.45339,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,23,1.4179071,9,"[12.704242706298828, 13.282831192016602, 10.585745811462402]","[8.093888282775879, 11.475622177124023, 5.134751319885254]",2,[17.580705642700195],[11.677178382873535],-3.1168087,-0.98833674,intuitive,False,-9.350426,-0.98833674,intuitive,False,-5.8647957,-0.98833674,intuitive,False,1.0809853,2756,"[2.195330858230591, 11.42453670501709, 10.777549743652344]","[2.3116390705108643, 7.334107875823975, 4.373771667480469]",721,[3.543731212615967],[-0.4774589240550995],-6.85207,-12.688774,correct,True,-20.55621,-12.688774,intuitive,False,-14.037177,-12.688774,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,24,1.643275,8,"[13.803135871887207, 15.292082786560059, 11.638809204101562]","[9.551889419555664, 11.343073844909668, 9.031164169311523]",1,[19.233905792236328],[-3.800802230834961],-2.8360088,-1.113561,intuitive,False,-8.508026,-1.113561,intuitive,False,-6.5443296,-1.113561,intuitive,False,1.3778342,1568,"[2.5550456047058105, 12.572513580322266, 11.565607070922852]","[-2.127838134765625, 7.540093421936035, 8.087349891662598]",826,[3.1763570308685303],[0.35380858182907104],-5.5419126,-12.46666,correct,True,-16.625738,-12.46666,intuitive,False,-13.087962,-12.46666,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,25,1.5130658,3,"[15.200716018676758, 17.2855281829834, 13.72700309753418]","[5.68816614151001, 12.400640487670898, 9.51785659790039]",1,[17.005901336669922],[-0.07929355651140213],-1.0772315,-0.94413155,intuitive,False,-3.2316945,-0.94413155,intuitive,False,-2.749321,-0.94413155,intuitive,False,1.3075225,2585,"[2.0090763568878174, 13.699749946594238, 13.426864624023438]","[1.1504679918289185, 9.354487419128418, 8.118144989013672]",867,[3.068223714828491],[-0.37164855003356934],-4.972767,-12.444773,correct,True,-14.918301,-12.444773,intuitive,False,-13.503914,-12.444773,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,26,1.6955929,3,"[15.487893104553223, 19.546119689941406, 15.669426918029785]","[25.322891235351562, 7.207861423492432, 9.19705867767334]",1,[15.789815902709961],[-1.9554940462112427],-0.505644,-1.1101581,correct,True,-1.516932,-1.1101581,intuitive,False,-1.4120848,-1.1101581,intuitive,False,1.1154921,1898,"[2.12107515335083, 15.439136505126953, 15.026673316955566]","[-1.7850669622421265, 5.283875465393066, 9.496256828308105]",892,[2.8536324501037598],[1.0282912254333496],-4.6880817,-12.982198,correct,True,-14.064245,-12.982198,intuitive,False,-13.714758,-12.982198,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,27,0.047661223,1,"[20.8272647857666, 20.304790496826172, 17.468740463256836]","[7.961086273193359, 8.33748722076416, 9.03203296661377]",3,[14.133757591247559],[-0.9277164340019226],-0.0068706074,-6.6999073,correct,True,-0.020611823,-6.6999073,correct,True,-0.0064038783,-6.6999073,correct,True,2.4707246,2546,"[1.7150744199752808, 15.92594051361084, 17.05899429321289]","[0.623924732208252, 8.009833335876465, 6.593142986297607]",698,[2.94594407081604],[0.35636773705482483],-4.2314625,-11.373152,correct,True,-12.694387,-11.373152,intuitive,False,-12.604023,-11.373152,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,28,0.034457754,1,"[20.86315155029297, 21.551912307739258, 18.96510887145996]","[-2.150784730911255, 13.208580017089844, 20.466381072998047]",3,[12.585941314697266],[1.4846962690353394],-0.0026305278,-8.282077,correct,True,-0.007891583,-8.282077,correct,True,-0.0048689134,-8.282077,correct,True,2.3635569,2147,"[1.7197237014770508, 17.003202438354492, 17.95687484741211]","[-0.28873080015182495, 9.4749174118042, 20.160587310791016]",689,[2.815173864364624],[-0.9115890264511108],-4.1676245,-11.382067,correct,True,-12.502873,-11.382067,intuitive,False,-12.477514,-11.382067,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,29,0.05283256,1,"[18.986400604248047, 24.09235954284668, 23.986705780029297]","[7.255107879638672, -4.642950057983398, 5.353439807891846]",3,[12.046670913696289],[2.9335086345672607],-0.0025773076,-6.946246,correct,True,-0.007731923,-6.946246,correct,True,-0.0065223197,-6.946246,correct,True,2.3723552,2074,"[1.575014591217041, 18.41480827331543, 22.965232849121094]","[2.98158860206604, -3.9266984462738037, 4.28534460067749]",868,[2.490537166595459],[0.3782028257846832],-4.1447477,-11.51181,correct,True,-12.434243,-11.51181,intuitive,False,-12.427334,-11.51181,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,30,0.058723778,1,"[19.95111656188965, 21.957523345947266, 23.802410125732422]","[4.5846710205078125, 8.925740242004395, 12.674027442932129]",5,[12.072335243225098],[6.6979804039001465],-0.0022989616,-7.885289,correct,True,-0.006896885,-7.885289,correct,True,-0.0065152138,-7.885289,correct,True,2.2269642,870,"[2.3163230419158936, 16.40631103515625, 23.0142879486084]","[-2.0059654712677, 6.956369876861572, 14.312171936035156]",799,[2.422595977783203],[0.7127202749252319],-3.8188818,-11.308024,correct,True,-11.456645,-11.308024,intuitive,False,-11.414295,-11.308024,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,31,2.3349051,1,"[16.612953186035156, 19.931867599487305, 22.926116943359375]",,4,[13.273921012878418],,-0.15877877,-3.8125699,correct,True,-0.4763363,-3.8125699,correct,True,-0.47353858,-3.8125699,correct,True,3.0454955,1796,"[0.15073233842849731, 17.360794067382812, 24.341197967529297]",,262,[2.4985244274139404],,-3.856678,-9.194337,correct,True,-11.570034,-9.194337,intuitive,False,-11.542128,-9.194337,intuitive,False,The capital
capitals-recall,2,country,Brazil,Brasilia,Rio de Janeiro,Sao Paulo,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,The capital of Brazil is,0,8.567027,17484,"[-1.086931824684143, 4.449095249176025]","[1.2133773565292358, 4.433745384216309]",5504,"[0.5272718071937561, 4.483263969421387, -1.1570429801940918]","[2.87465500831604, 4.106067180633545, 4.498782157897949]",-9.454105,-9.480751,correct,True,-18.90821,-28.442253,correct,True,-11.839713,-10.22551,intuitive,False,8.784887,16289,"[-0.3611486852169037, 4.339304447174072]","[1.857819676399231, 5.364948272705078]",10871,"[0.36353564262390137, 4.179112434387207, -1.4699448347091675]","[0.6444882154464722, 3.507713556289673, 5.484805107116699]",-9.490482,-10.032158,correct,True,-18.980965,-30.096474,correct,True,-11.902384,-11.1777,intuitive,False,The capital
capitals-recall,2,country,Brazil,Brasilia,Rio de Janeiro,Sao Paulo,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,The capital of Brazil is,1,8.064844,13152,"[-0.16239877045154572, 5.797691345214844]","[0.580216646194458, 0.8598281741142273]",1053,"[2.551267623901367, 5.712103366851807, 2.602006435394287]","[3.15933895111084, 2.863684892654419, 7.5031938552856445]",-8.761337,-7.7108912,intuitive,False,-17.522675,-23.132673,correct,True,-11.633938,-8.920273,intuitive,False,7.561444,9666,"[1.1530452966690063, 6.403818607330322]","[-0.4723004996776581, 0.9155629277229309]",12717,"[0.6988409161567688, 5.16233491897583, 3.1606979370117188]","[1.0234487056732178, 3.0511276721954346, 5.824165344238281]",-8.347364,-8.694715,correct,True,-16.694729,-26.084143,correct,True,-11.408923,-11.863128,correct,True,The capital
