task,item_id,entity_type,entity,correct,intuitive,intuitive_2,question,prefix,population_correct,population_intuitive,population_ratio,condition,correct_first,query,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_intuitive_first_token,logits_intuitive,logits_deltas_intuitive,mean_logprob_correct,mean_logprob_intuitive,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_intuitive,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_intuitive,first_logprob_response,first_logprob_response_isCorrect,control_entropy_first_token,control_rank_correct_first_token,control_logits_correct,control_logits_deltas_correct,control_rank_intuitive_first_token,control_logits_intuitive,control_logits_deltas_intuitive,control_mean_logprob_correct,control_mean_logprob_intuitive,control_mean_logprob_response,control_mean_logprob_response_isCorrect,control_sum_logprob_correct,control_sum_logprob_intuitive,control_sum_logprob_response,control_sum_logprob_response_isCorrect,control_first_logprob_correct,control_first_logprob_intuitive,control_first_logprob_response,control_first_logprob_response_isCorrect,control_model_input
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",10,7.3691726,2794,"[2.3574533462524414, -0.03192976489663124, 0.5965766906738281]","[2.446340799331665, 0.03704751655459404, 4.19439697265625]",1626,[2.9126720428466797],[-3.833828926086426],-11.188668,-9.346094,intuitive,False,-33.566006,-9.346094,intuitive,False,-9.901313,-9.346094,intuitive,False,8.663125,18249,"[-0.1574048548936844, 2.028092861175537, 0.9411736726760864]","[0.5998072624206543, 0.8408573269844055, 3.028268575668335]",2435,[2.6283788681030273],[-0.8874312043190002],-11.442258,-9.473405,intuitive,False,-34.326775,-9.473405,intuitive,False,-12.259188,-9.473405,intuitive,False,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",11,7.13605,958,"[3.4510176181793213, -0.011825217865407467, 2.094099760055542]","[-2.1077115535736084, 3.6321420669555664, 2.593507766723633]",9960,[0.7887985110282898],[-0.12370634824037552],-10.314269,-11.552141,correct,True,-30.942808,-11.552141,intuitive,False,-8.889922,-11.552141,correct,True,8.673618,15311,"[0.05308496579527855, 2.3244359493255615, 1.8546088933944702]","[-0.1983421891927719, 3.8509159088134766, 2.895420551300049]",3483,[2.0762336254119873],[2.679265260696411],-10.717486,-9.817375,intuitive,False,-32.15246,-9.817375,intuitive,False,-11.840525,-9.817375,intuitive,False,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",12,2.926546,3308,"[2.2637031078338623, 1.656456470489502, 2.8218584060668945]","[1.5143879652023315, 1.445902943611145, -0.03186365216970444]",10840,[0.6829297542572021],[0.7591807246208191],-10.343159,-12.768566,correct,True,-31.029476,-12.768566,intuitive,False,-11.187793,-12.768566,correct,True,8.690169,15589,"[-0.00845362339168787, 3.6096179485321045, 2.690469741821289]","[2.3048980236053467, 1.1718544960021973, 0.3784853518009186]",1604,[2.7579989433288574],[1.738250494003296],-10.0480585,-9.096725,intuitive,False,-30.144176,-9.096725,intuitive,False,-11.863178,-9.096725,intuitive,False,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",13,4.907553,2230,"[2.73559832572937, 2.1750833988189697, 2.5862045288085938]","[1.5267412662506104, 0.6196402311325073, 1.562982439994812]",9551,[0.9787634611129761],[4.920106887817383],-9.87671,-11.940365,correct,True,-29.63013,-11.940365,intuitive,False,-10.183529,-11.940365,correct,True,8.474599,9864,"[0.9709991812705994, 3.9183197021484375, 2.581641435623169]","[0.2595483958721161, -1.8207576274871826, 2.0789895057678223]",1324,[3.150419235229492],[-0.7098859548568726],-9.730994,-9.001709,intuitive,False,-29.192982,-9.001709,intuitive,False,-11.181129,-9.001709,intuitive,False,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",14,6.210023,976,"[3.286980390548706, 2.3463714122772217, 2.9694151878356934]","[1.244625210762024, -3.2861948013305664, 3.2566299438476562]",603,[3.6974611282348633],[0.8772794008255005],-9.3415575,-8.783873,intuitive,False,-28.024673,-8.783873,intuitive,False,-9.194353,-8.783873,intuitive,False,7.7647543,9197,"[0.9972773194313049, 2.940720796585083, 3.0977203845977783]","[1.1737130880355835, 5.294352054595947, 2.4930644035339355]",1939,[2.7319061756134033],[0.5473330020904541],-9.92624,-9.516574,intuitive,False,-29.778719,-9.516574,intuitive,False,-11.251203,-9.516574,intuitive,False,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",15,5.22272,591,"[3.610924482345581, 0.6655104756355286, 3.873805284500122]","[0.862244188785553, 8.961463928222656, 0.7858467698097229]",466,[3.806809186935425],[2.496849536895752],-9.540584,-8.885974,intuitive,False,-28.621752,-8.885974,intuitive,False,-9.081859,-8.885974,intuitive,False,6.653354,6299,"[1.3486648797988892, 4.837483882904053, 3.590139627456665]","[2.620878219604492, 5.600396156311035, 1.346834659576416]",2292,[2.439910888671875],[-2.3026323318481445],-8.917328,-9.914055,correct,True,-26.751984,-9.914055,intuitive,False,-11.005302,-9.914055,intuitive,False,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",16,4.562701,1325,"[3.3453972339630127, 4.395742416381836, 3.7148280143737793]","[3.2814700603485107, 5.448633670806885, 5.064556121826172]",476,[4.299517631530762],[7.374657154083252],-8.784357,-9.046434,correct,True,-26.353071,-9.046434,intuitive,False,-10.000555,-9.046434,intuitive,False,4.2525554,2453,"[2.1760404109954834, 6.570451736450195, 3.626016139984131]","[0.5604072213172913, 4.310166358947754, 5.2166056632995605]",5826,[1.2541784048080444],[2.11051869392395],-8.803974,-11.74879,correct,True,-26.411922,-11.74879,intuitive,False,-10.826928,-11.74879,correct,True,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",17,4.1898956,466,"[4.434787273406982, 5.937292575836182, 5.141368389129639]","[3.362931251525879, 5.057681083679199, 6.876689910888672]",32,[6.996791362762451],[2.7269949913024902],-7.435374,-6.602821,intuitive,False,-22.306122,-6.602821,intuitive,False,-9.164825,-6.602821,intuitive,False,3.1970148,2269,"[2.1161296367645264, 7.665620803833008, 5.0830302238464355]","[2.3168859481811523, 5.598134994506836, 4.895442008972168]",2872,[1.8810852766036987],[2.250051736831665],-8.052501,-11.476094,correct,True,-24.157501,-11.476094,intuitive,False,-11.241053,-11.476094,correct,True,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",18,1.5777146,215,"[5.122218608856201, 7.008169174194336, 7.160634517669678]","[3.1060802936553955, 5.082141876220703, 1.996920108795166]",44,[7.015585899353027],[14.226847648620605],-6.9807396,-8.081715,correct,True,-20.942219,-8.081715,intuitive,False,-9.975082,-8.081715,intuitive,False,3.761139,1461,"[2.6050453186035156, 8.724681854248047, 6.134849548339844]","[1.160010814666748, 4.8817291259765625, 2.9461793899536133]",1874,[2.377603769302368],[1.4633229970932007],-7.5833187,-10.925243,correct,True,-22.749956,-10.925243,intuitive,False,-10.697803,-10.925243,correct,True,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",19,2.274037,133,"[5.700911045074463, 7.650903224945068, 7.2171220779418945]","[9.811753273010254, 6.278834342956543, 6.893226146697998]",7,[11.293439865112305],[10.715436935424805],-6.6479135,-4.1928577,intuitive,False,-19.94374,-4.1928577,intuitive,False,-9.785387,-4.1928577,intuitive,False,4.2807794,1682,"[2.659998655319214, 9.367546081542969, 6.5291948318481445]","[1.0014631748199463, 6.1258320808410645, 7.1630635261535645]",1909,[2.5491573810577393],[3.074957847595215],-7.2484565,-10.7687845,correct,True,-21.745369,-10.7687845,intuitive,False,-10.657945,-10.7687845,correct,True,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",20,2.8819075,32,"[8.424957275390625, 8.455196380615234, 9.250028610229492]","[6.154212474822998, 12.545393943786621, 4.8157057762146]",4,[13.37267017364502],[7.281322002410889],-4.7201858,-2.203586,intuitive,False,-14.160558,-2.203586,intuitive,False,-7.151299,-2.203586,intuitive,False,2.5835433,1741,"[2.6246538162231445, 10.063315391540527, 8.739828109741211]","[0.059739939868450165, 2.096705675125122, 3.161914825439453]",1012,[3.1758370399475098],[0.552322506904602],-6.787724,-11.574294,correct,True,-20.363173,-11.574294,intuitive,False,-12.125475,-11.574294,intuitive,False,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",21,2.2558887,24,"[9.40201473236084, 11.022160530090332, 10.057719230651855]","[6.821013450622559, 9.14509391784668, 6.1339874267578125]",3,[14.069751739501953],[5.52332067489624],-3.5338695,-2.1358957,intuitive,False,-10.601608,-2.1358957,intuitive,False,-6.8036327,-2.1358957,intuitive,False,2.8743908,2231,"[2.341153144836426, 9.515597343444824, 9.086634635925293]","[0.9439043402671814, 7.618780136108398, 5.978777885437012]",1196,[2.9728055000305176],[0.6997342109680176],-7.0633926,-11.5115385,correct,True,-21.190178,-11.5115385,intuitive,False,-12.1431875,-11.5115385,intuitive,False,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",22,2.6675804,13,"[10.530818939208984, 12.10763931274414, 11.413599014282227]","[9.869426727294922, 10.017646789550781, 2.8216686248779297]",1,[14.340300559997559],[12.985442161560059],-2.3263958,-1.0813876,intuitive,False,-6.979187,-1.0813876,intuitive,False,-4.890869,-1.0813876,intuitive,False,1.7763146,2124,"[2.389923095703125, 10.771900177001953, 10.646987915039062]","[-0.20959080755710602, 5.551295757293701, 3.053523063659668]",1261,[2.912776470184326],[3.8794898986816406],-6.508261,-12.45339,correct,True,-19.524784,-12.45339,intuitive,False,-12.976245,-12.45339,intuitive,False,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",23,1.1450982,5,"[12.648063659667969, 13.450705528259277, 11.471145629882812]","[13.562328338623047, 12.980001449584961, 4.972986221313477]",1,[17.08955955505371],[14.331278800964355],-2.1851673,-0.29534942,intuitive,False,-6.555502,-0.29534942,intuitive,False,-4.7368455,-0.29534942,intuitive,False,1.0809853,2756,"[2.195330858230591, 11.42453670501709, 10.777549743652344]","[2.3116390705108643, 7.334107875823975, 4.373771667480469]",721,[3.543731212615967],[-0.4774589240550995],-6.85207,-12.688774,correct,True,-20.55621,-12.688774,intuitive,False,-14.037177,-12.688774,intuitive,False,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",24,0.6931934,6,"[15.369781494140625, 15.609644889831543, 12.460587501525879]","[7.1281208992004395, 10.368742942810059, 10.149500846862793]",1,[19.650964736938477],[-4.815652847290039],-1.8219646,-0.16789594,intuitive,False,-5.4658937,-0.16789594,intuitive,False,-4.449079,-0.16789594,intuitive,False,1.3778342,1568,"[2.5550456047058105, 12.572513580322266, 11.565607070922852]","[-2.127838134765625, 7.540093421936035, 8.087349891662598]",826,[3.1763570308685303],[0.35380858182907104],-5.5419126,-12.46666,correct,True,-16.625738,-12.46666,intuitive,False,-13.087962,-12.46666,intuitive,False,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",25,1.1960564,2,"[16.265155792236328, 17.09735679626465, 14.93028450012207]","[2.77211594581604, 10.879769325256348, 9.169631004333496]",1,[17.175447463989258],[0.2714868485927582],-0.5219603,-0.48564124,intuitive,False,-1.565881,-0.48564124,intuitive,False,-1.3959329,-0.48564124,intuitive,False,1.3075225,2585,"[2.0090763568878174, 13.699749946594238, 13.426864624023438]","[1.1504679918289185, 9.354487419128418, 8.118144989013672]",867,[3.068223714828491],[-0.37164855003356934],-4.972767,-12.444773,correct,True,-14.918301,-12.444773,intuitive,False,-13.503914,-12.444773,intuitive,False,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",26,1.5387218,2,"[15.583616256713867, 18.700016021728516, 16.762577056884766]","[21.200538635253906, 6.940673351287842, 9.37630558013916]",1,[15.746941566467285],[-2.9251654148101807],-0.34292325,-0.82637703,correct,True,-1.0287697,-0.82637703,intuitive,False,-0.98970234,-0.82637703,intuitive,False,1.1154921,1898,"[2.12107515335083, 15.439136505126953, 15.026673316955566]","[-1.7850669622421265, 5.283875465393066, 9.496256828308105]",892,[2.8536324501037598],[1.0282912254333496],-4.6880817,-12.982198,correct,True,-14.064245,-12.982198,intuitive,False,-13.714758,-12.982198,intuitive,False,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",27,0.094020426,1,"[19.70416259765625, 19.270986557006836, 18.575342178344727]","[9.288739204406738, 9.97896957397461, 8.326126098632812]",3,[14.117329597473145],[2.9521520137786865],-0.0061828443,-5.5993905,correct,True,-0.018548533,-5.5993905,correct,True,-0.012557368,-5.5993905,correct,True,2.4707246,2546,"[1.7150744199752808, 15.92594051361084, 17.05899429321289]","[0.623924732208252, 8.009833335876465, 6.593142986297607]",698,[2.94594407081604],[0.35636773705482483],-4.2314625,-11.373152,correct,True,-12.694387,-11.373152,intuitive,False,-12.604023,-11.373152,intuitive,False,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",28,0.043634005,1,"[20.43903923034668, 20.895343780517578, 19.93181800842285]","[-2.677616596221924, 13.19975757598877, 18.377931594848633]",3,[13.714948654174805],[2.6578023433685303],-0.0024053834,-6.7298365,correct,True,-0.00721615,-6.7298365,correct,True,-0.0057459185,-6.7298365,correct,True,2.3635569,2147,"[1.7197237014770508, 17.003202438354492, 17.95687484741211]","[-0.28873080015182495, 9.4749174118042, 20.160587310791016]",689,[2.815173864364624],[-0.9115890264511108],-4.1676245,-11.382067,correct,True,-12.502873,-11.382067,intuitive,False,-12.477514,-11.382067,intuitive,False,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",29,0.11629546,1,"[18.420143127441406, 22.900583267211914, 24.05341911315918]","[5.458652496337891, -5.665806770324707, 3.9125258922576904]",2,[13.337093353271484],[3.913736581802368],-0.0053139427,-5.0980377,correct,True,-0.015941828,-5.0980377,correct,True,-0.014987837,-5.0980377,correct,True,2.3723552,2074,"[1.575014591217041, 18.41480827331543, 22.965232849121094]","[2.98158860206604, -3.9266984462738037, 4.28534460067749]",868,[2.490537166595459],[0.3782028257846832],-4.1447477,-11.51181,correct,True,-12.434243,-11.51181,intuitive,False,-12.427334,-11.51181,intuitive,False,The capital
