"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0,"baseline_final","baseline_final","rt","filteredCorrect","Llama-3.1-70B",NA
"critical_fit","layer_biggest_change_logprobdiff + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.31238190865429,"layer_biggest_change_logprobdiff","baseline_final","rt","filteredCorrect","Llama-3.1-70B",NA
"critical_fit","layer_biggest_change_logprobdiff + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.46681587585192,"layer_biggest_change_logprobdiff","baseline_midpoint","rt","filteredCorrect","Llama-3.1-70B",NA
"critical_fit","auc_boosting_pos + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",1.51441146655736,"auc_boosting_pos","baseline_final","rt","filteredCorrect","Llama-3.1-70B",NA
"critical_fit","auc_boosting_pos + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",5.89058882765858,"auc_boosting_pos","baseline_midpoint","rt","filteredCorrect","Llama-3.1-70B",NA
"critical_fit","auc_boosting_neg + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.17835254136503,"auc_boosting_neg","baseline_final","rt","filteredCorrect","Llama-3.1-70B",NA
"critical_fit","auc_boosting_neg + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.39764642478656,"auc_boosting_neg","baseline_midpoint","rt","filteredCorrect","Llama-3.1-70B",NA
"critical_fit","layer_argmax_boosting + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.33226789403318,"layer_argmax_boosting","baseline_final","rt","filteredCorrect","Llama-3.1-70B",NA
"critical_fit","layer_argmax_boosting + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.42048026015323,"layer_argmax_boosting","baseline_midpoint","rt","filteredCorrect","Llama-3.1-70B",NA
"critical_fit","twostage_magnitude + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",4.26541420664284,"twostage_magnitude","baseline_final","rt","filteredCorrect","Llama-3.1-70B",NA
"critical_fit","twostage_magnitude + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",3.21754338429628,"twostage_magnitude","baseline_midpoint","rt","filteredCorrect","Llama-3.1-70B",NA
"critical_fit","twostage_magnitude_latter34 + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",2.02440368730311,"twostage_magnitude_latter34","baseline_final","rt","filteredCorrect","Llama-3.1-70B",NA
"critical_fit","twostage_magnitude_latter34 + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0.126092348707289,"twostage_magnitude_latter34","baseline_midpoint","rt","filteredCorrect","Llama-3.1-70B",NA
"critical_fit","twostage_layer + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.31952363190919,"twostage_layer","baseline_final","rt","filteredCorrect","Llama-3.1-70B",NA
"critical_fit","twostage_layer + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.40073475480688,"twostage_layer","baseline_midpoint","rt","filteredCorrect","Llama-3.1-70B",NA
