"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0,"baseline_final","baseline_final","response_correct","all_trials","gemma-2-27b",NA
"critical_fit","auc_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.70362862079628,"auc_logprob_correct","baseline_midpoint","response_correct","all_trials","gemma-2-27b",NA
"critical_fit","layer_biggest_change_logprob_correct + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.38401046660806,"layer_biggest_change_logprob_correct","baseline_final","response_correct","all_trials","gemma-2-27b",NA
"critical_fit","layer_biggest_change_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.54082383291984,"layer_biggest_change_logprob_correct","baseline_midpoint","response_correct","all_trials","gemma-2-27b",NA
"critical_fit","auc_logprobdiff_pos + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0.0282599031554582,"auc_logprobdiff_pos","baseline_final","response_correct","all_trials","gemma-2-27b",NA
"critical_fit","auc_logprobdiff_pos + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.40150452376406,"auc_logprobdiff_pos","baseline_midpoint","response_correct","all_trials","gemma-2-27b",NA
"critical_fit","auc_logprobdiff_neg + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",2.57817457699844,"auc_logprobdiff_neg","baseline_final","response_correct","all_trials","gemma-2-27b",NA
"critical_fit","auc_logprobdiff_neg + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.78670259287901,"auc_logprobdiff_neg","baseline_midpoint","response_correct","all_trials","gemma-2-27b",NA
"critical_fit","layer_biggest_change_logprobdiff + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.18255707393132,"layer_biggest_change_logprobdiff","baseline_final","response_correct","all_trials","gemma-2-27b",NA
"critical_fit","layer_biggest_change_logprobdiff + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.66455468753975,"layer_biggest_change_logprobdiff","baseline_midpoint","response_correct","all_trials","gemma-2-27b",NA
"critical_fit","auc_boosting_pos + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.18792280708453,"auc_boosting_pos","baseline_final","response_correct","all_trials","gemma-2-27b",NA
"critical_fit","auc_boosting_pos + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.51909076848801,"auc_boosting_pos","baseline_midpoint","response_correct","all_trials","gemma-2-27b",NA
"critical_fit","auc_boosting_neg + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.36923704984429,"auc_boosting_neg","baseline_final","response_correct","all_trials","gemma-2-27b",NA
"critical_fit","auc_boosting_neg + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.92763021285236,"auc_boosting_neg","baseline_midpoint","response_correct","all_trials","gemma-2-27b",NA
"critical_fit","layer_argmax_boosting + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.7193452650024,"layer_argmax_boosting","baseline_final","response_correct","all_trials","gemma-2-27b",NA
"critical_fit","layer_argmax_boosting + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.71826160802357,"layer_argmax_boosting","baseline_midpoint","response_correct","all_trials","gemma-2-27b",NA
"critical_fit","twostage_magnitude + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",3.31430008097891,"twostage_magnitude","baseline_final","response_correct","all_trials","gemma-2-27b",NA
"critical_fit","twostage_magnitude + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-0.00269838560984681,"twostage_magnitude","baseline_midpoint","response_correct","all_trials","gemma-2-27b",NA
"critical_fit","twostage_magnitude_latter34 + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.7459199508271,"twostage_magnitude_latter34","baseline_final","response_correct","all_trials","gemma-2-27b",NA
"critical_fit","twostage_magnitude_latter34 + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.64447218339092,"twostage_magnitude_latter34","baseline_midpoint","response_correct","all_trials","gemma-2-27b",NA
"critical_fit","twostage_layer + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.60063802840455,"twostage_layer","baseline_final","response_correct","all_trials","gemma-2-27b",NA
"critical_fit","twostage_layer + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.98615098182654,"twostage_layer","baseline_midpoint","response_correct","all_trials","gemma-2-27b",NA
