rt,response,task,item_id,entity_type,entity,correct,intuitive,question,prefix,population_correct,population_intuitive,population_ratio,display_correct_first,task_type,trial_type,trial_index,time_elapsed,subject_id,study_id,session_id,rng_seed,response_correct,response_position,rt_zscore
3355,j,capitals,30,state,New Jersey,Trenton,Newark,What is the capital of New Jersey?,The capital of New Jersey is,0.0898,0.306,3.407572383,True,critical,html-keyboard-response,31,327106,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,0,right,-0.8347703253661778
3128,f,capitals,21,state,Louisiana,Baton Rouge,New Orleans,What is the capital of Louisiana?,The capital of Louisiana is,0.215,0.351,1.63255814,True,critical,html-keyboard-response,33,331237,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,left,-0.879866455203279
3328,f,capitals,17,state,Florida,Tallahassee,Jacksonville,What is the capital of Florida?,The capital of Florida is,0.205,1.008,4.917073171,False,critical,html-keyboard-response,35,335567,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,0,left,-0.8401341822190488
2785,f,capitals,38,state,Texas,Austin,Houston,What is the capital of Texas?,The capital of Texas is,0.989,2.324,2.349848332,True,critical,html-keyboard-response,37,339354,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,left,-0.9480073033712337
9323,j,capitals,29,state,New Hampshire,Concord,Manchester,What is the capital of New Hampshire?,The capital of New Hampshire is,0.0449,0.115,2.561247216,True,critical,html-keyboard-response,39,349680,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,0,right,0.35084070048325044
4664,f,capitals,8,country,South Africa,Pretoria,Johannesburg,What is the capital of South Africa?,The capital of South Africa is,3.0,6.4,2.133333333,False,critical,html-keyboard-response,41,355346,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,0,left,-0.5747225986843914
20521,j,capitals,25,state,Minnesota,St. Paul,Minneapolis,What is the capital of Minnesota?,The capital of Minnesota is,0.299,0.421,1.408026756,False,critical,html-keyboard-response,43,376872,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,right,2.5754506648702975
7963,j,capitals,18,state,Illinois,Springfield,Chicago,What is the capital of Illinois?,The capital of Illinois is,0.111,2.612,23.53153153,False,critical,html-keyboard-response,45,385838,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,right,0.08066124419048529
7317,f,capitals,13,state,Alaska,Juneau,Anchorage,What is the capital of Alaska?,The capital of Alaska is,0.0311,0.283,9.099678457,True,critical,html-keyboard-response,47,394158,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,left,-0.047673997548578144
13838,f,capitals,37,state,South Dakota,Pierre,Sioux Falls,What is the capital of South Dakota?,The capital of South Dakota is,0.0138,0.215,15.57971014,True,critical,html-keyboard-response,49,408998,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,left,1.2477967631022464
7825,j,capitals,28,state,Nevada,Carson City,Las Vegas,What is the capital of Nevada?,The capital of Nevada is,0.0576,0.67,11.63194444,False,critical,html-keyboard-response,51,417826,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,right,0.05324597583136648
19619,f,capitals,20,state,Kentucky,Frankfort,Louisville,What is the capital of Kentucky?,The capital of Kentucky is,0.0281,0.617,21.95729537,True,critical,html-keyboard-response,53,438447,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,left,2.3962581137114194
5336,j,capitals,40,state,Virginia,Richmond,Virginia Beach,What is the capital of Virginia?,The capital of Virginia is,0.231,0.45,1.948051948,False,critical,html-keyboard-response,55,444786,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,right,-0.44122216145737797
8048,f,capitals,41,state,Washington,Olympia,Seattle,What is the capital of Washington?,The capital of Washington is,0.0558,0.765,13.70967742,True,critical,html-keyboard-response,57,453837,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,left,0.09754746020878312
4128,f,capitals,1,country,Australia,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,False,critical,html-keyboard-response,59,458967,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,0,left,-0.6812050902821282
3389,j,capitals,7,country,Pakistan,Islamabad,Karachi,What is the capital of Pakistan?,The capital of Pakistan is,1.3,18.1,13.92307692,True,critical,html-keyboard-response,61,463359,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,0,right,-0.8280158389588587
10485,j,capitals,15,state,Connecticut,Hartford,Bridgeport,What is the capital of Connecticut?,The capital of Connecticut is,0.119,0.148,1.243697479,False,critical,html-keyboard-response,63,474847,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,right,0.5816852065216277
8777,f,capitals,34,state,North Dakota,Bismarck,Fargo,What is the capital of North Dakota?,The capital of North Dakota is,0.076,0.138,1.815789474,True,critical,html-keyboard-response,65,484625,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,left,0.24237159523630208
11957,j,capitals,9,country,Switzerland,Bern,Zurich,What is the capital of Switzerland?,The capital of Switzerland is,0.448,1.455,3.247767857,False,critical,html-keyboard-response,67,497585,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,right,0.8741147356855618
6636,j,capitals,39,state,Vermont,Montpelier,Burlington,What is the capital of Vermont?,The capital of Vermont is,0.0079,0.0444,5.620253165,False,critical,html-keyboard-response,69,505227,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,right,-0.18296238705988185
8770,j,capitals,26,state,Montana,Helena,Billings,What is the capital of Montana?,The capital of Montana is,0.0359,0.123,3.426183844,False,critical,html-keyboard-response,71,514999,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,right,0.240980965681854
4956,j,capitals,23,state,Maryland,Annapolis,Baltimore,What is the capital of Maryland?,The capital of Maryland is,0.0403,0.553,13.72208437,False,critical,html-keyboard-response,73,520958,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,right,-0.5167134801274152
9997,f,capitals,32,state,New York,Albany,New York,What is the capital of New York?,The capital of New York is,0.103,7.937,77.05825243,True,critical,html-keyboard-response,75,531958,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,left,0.4847384604401061
7474,f,capitals,33,state,North Carolina,Raleigh,Charlotte,What is the capital of North Carolina?,The capital of North Carolina is,0.494,0.935,1.892712551,True,critical,html-keyboard-response,77,540437,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,left,-0.016484163255957467
9037,j,capitals,12,state,Alabama,Montgomery,Birmingham,What is the capital of Alabama?,The capital of Alabama is,0.192,0.194,1.010416667,False,critical,html-keyboard-response,79,550477,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,right,0.2940235501158013
20637,f,capitals,10,country,Turkey,Ankara,Istanbul,What is the capital of Turkey?,The capital of Turkey is,5.55,16.24,2.926126126,True,critical,html-keyboard-response,81,572117,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,left,2.598495383201151
9764,f,capitals,4,country,India,New Delhi,Mumbai,What is the capital of India?,The capital of India is,0.206,22.1,107.2815534,True,critical,html-keyboard-response,83,582887,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,left,0.43845036241347796
9625,f,capitals,16,state,Delaware,Dover,Wilmington,What is the capital of Delaware?,The capital of Delaware is,0.0403,0.0722,1.791563275,True,critical,html-keyboard-response,85,593517,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,left,0.410836432689438
17527,f,capitals,6,country,New Zealand,Wellington,Auckland,What is the capital of New Zealand?,The capital of New Zealand is,0.428,1.711,3.997663551,True,critical,html-keyboard-response,87,612046,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,left,1.980658538296372
9827,j,capitals,2,country,Brazil,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,False,critical,html-keyboard-response,89,622876,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,right,0.45096602840351047
7557,f,capitals,3,country,Canada,Ottawa,Toronto,What is the capital of Canada?,The capital of Canada is,1.465,6.491,4.430716724,False,critical,html-keyboard-response,91,631436,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,0,left,4.730032498053808e-06
10558,j,capitals,22,state,Maine,Augusta,Portland,What is the capital of Maine?,The capital of Maine is,0.0192,0.0695,3.619791667,False,critical,html-keyboard-response,93,642998,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,right,0.5961874861608717
2719,j,capitals,6,country,New Zealand,Wellington,Auckland,What is the capital of New Zealand?,The capital of New Zealand is,0.428,1.711,3.997663551,False,critical,html-keyboard-response,7,29694,subject_11,67d993866d1d7516d87e97de,67f556ee7e72bf6aa696a5fc,0.12233687001432414,1,right,1.2111012908590915
1696,f,capitals,19,state,Kansas,Topeka,Wichita,What is the capital of Kansas?,The capital of Kansas is,0.125,0.395,3.16,False,critical,html-keyboard-response,9,32403,subject_11,67d993866d1d7516d87e97de,67f556ee7e72bf6aa696a5fc,0.12233687001432414,0,left,-0.2524390849826108
1584,f,capitals,42,state,Wisconsin,Madison,Milwaukee,What is the capital of Wisconsin?,The capital of Wisconsin is,0.284,0.551,1.940140845,True,critical,html-keyboard-response,11,34990,subject_11,67d993866d1d7516d87e97de,67f556ee7e72bf6aa696a5fc,0.12233687001432414,1,left,-0.4126702893758373
2227,j,capitals,21,state,Louisiana,Baton Rouge,New Orleans,What is the capital of Louisiana?,The capital of Louisiana is,0.215,0.351,1.63255814,False,critical,html-keyboard-response,13,38229,subject_11,67d993866d1d7516d87e97de,67f556ee7e72bf6aa696a5fc,0.12233687001432414,1,right,0.5072285001317038
1958,j,capitals,35,state,Oregon,Salem,Portland,What is the capital of Oregon?,The capital of Oregon is,0.178,0.615,3.45505618,False,critical,html-keyboard-response,15,41195,subject_11,67d993866d1d7516d87e97de,67f556ee7e72bf6aa696a5fc,0.12233687001432414,1,right,0.12238748243725821
1272,j,capitals,1,country,Australia,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,False,critical,html-keyboard-response,17,43475,subject_11,67d993866d1d7516d87e97de,67f556ee7e72bf6aa696a5fc,0.12233687001432414,1,right,-0.8590286444712538
4172,j,capitals,11,country,United Arab Emirates,Abu Dhabi,Dubai,What is the capital of the United Arab Emirates?,The capital of the United Arab Emirates is,1.6,3.1,1.9375,True,critical,html-keyboard-response,19,48659,subject_11,67d993866d1d7516d87e97de,67f556ee7e72bf6aa696a5fc,0.12233687001432414,0,right,3.289815040710503
1368,f,capitals,2,country,Brazil,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,True,critical,html-keyboard-response,21,51038,subject_11,67d993866d1d7516d87e97de,67f556ee7e72bf6aa696a5fc,0.12233687001432414,1,left,-0.7216876121342026
1905,f,capitals,31,state,New Mexico,Santa Fe,Albuquerque,What is the capital of New Mexico?,The capital of New Mexico is,0.0901,0.557,6.182019978,True,critical,html-keyboard-response,23,53955,subject_11,67d993866d1d7516d87e97de,67f556ee7e72bf6aa696a5fc,0.12233687001432414,1,left,0.046563787501177824
1305,f,capitals,36,state,Pennsylvania,Harrisburg,Philadelphia,What is the capital of Pennsylvania?,The capital of Pennsylvania is,0.05,1.517,30.34,True,critical,html-keyboard-response,25,56277,subject_11,67d993866d1d7516d87e97de,67f556ee7e72bf6aa696a5fc,0.12233687001432414,1,left,-0.8118176646053925
2495,j,capitals,8,country,South Africa,Pretoria,Johannesburg,What is the capital of South Africa?,The capital of South Africa is,3.0,6.4,2.133333333,False,critical,html-keyboard-response,27,59782,subject_11,67d993866d1d7516d87e97de,67f556ee7e72bf6aa696a5fc,0.12233687001432414,1,right,0.8906388820726386
1321,j,capitals,22,state,Maine,Augusta,Portland,What is the capital of Maine?,The capital of Maine is,0.0192,0.0695,3.619791667,False,critical,html-keyboard-response,29,62110,subject_11,67d993866d1d7516d87e97de,67f556ee7e72bf6aa696a5fc,0.12233687001432414,1,right,-0.7889274925492172
1676,j,capitals,34,state,North Dakota,Bismarck,Fargo,What is the capital of North Dakota?,The capital of North Dakota is,0.076,0.138,1.815789474,False,critical,html-keyboard-response,31,64799,subject_11,67d993866d1d7516d87e97de,67f556ee7e72bf6aa696a5fc,0.12233687001432414,1,right,-0.2810518000528298
1152,j,capitals,29,state,New Hampshire,Concord,Manchester,What is the capital of New Hampshire?,The capital of New Hampshire is,0.0449,0.115,2.561247216,False,critical,html-keyboard-response,33,66956,subject_11,67d993866d1d7516d87e97de,67f556ee7e72bf6aa696a5fc,0.12233687001432414,1,right,-1.0307049348925679
1683,j,capitals,40,state,Virginia,Richmond,Virginia Beach,What is the capital of Virginia?,The capital of Virginia is,0.231,0.45,1.948051948,False,critical,html-keyboard-response,35,69654,subject_11,67d993866d1d7516d87e97de,67f556ee7e72bf6aa696a5fc,0.12233687001432414,1,right,-0.27103734977825317
2077,f,capitals,10,country,Turkey,Ankara,Istanbul,What is the capital of Turkey?,The capital of Turkey is,5.55,16.24,2.926126126,True,critical,html-keyboard-response,37,72734,subject_11,67d993866d1d7516d87e97de,67f556ee7e72bf6aa696a5fc,0.12233687001432414,1,left,0.29263313710506134
2347,j,capitals,9,country,Switzerland,Bern,Zurich,What is the capital of Switzerland?,The capital of Switzerland is,0.448,1.455,3.247767857,False,critical,html-keyboard-response,39,76095,subject_11,67d993866d1d7516d87e97de,67f556ee7e72bf6aa696a5fc,0.12233687001432414,1,right,0.678904790553018
1080,f,capitals,26,state,Montana,Helena,Billings,What is the capital of Montana?,The capital of Montana is,0.0359,0.123,3.426183844,True,critical,html-keyboard-response,41,78182,subject_11,67d993866d1d7516d87e97de,67f556ee7e72bf6aa696a5fc,0.12233687001432414,1,left,-1.1337107091453564
2349,j,capitals,25,state,Minnesota,St. Paul,Minneapolis,What is the capital of Minnesota?,The capital of Minnesota is,0.299,0.421,1.408026756,False,critical,html-keyboard-response,43,81548,subject_11,67d993866d1d7516d87e97de,67f556ee7e72bf6aa696a5fc,0.12233687001432414,1,right,0.6817660620600399
1603,f,capitals,12,state,Alabama,Montgomery,Birmingham,What is the capital of Alabama?,The capital of Alabama is,0.192,0.194,1.010416667,False,critical,html-keyboard-response,45,84155,subject_11,67d993866d1d7516d87e97de,67f556ee7e72bf6aa696a5fc,0.12233687001432414,0,left,-0.3854882100591292
1164,j,capitals,14,state,California,Sacramento,Los Angeles,What is the capital of California?,The capital of California is,0.527,3.8,7.210626186,False,critical,html-keyboard-response,47,86325,subject_11,67d993866d1d7516d87e97de,67f556ee7e72bf6aa696a5fc,0.12233687001432414,1,right,-1.0135373058504364
2184,f,capitals,27,state,Nebraska,Lincoln,Omaha,What is the capital of Nebraska?,The capital of Nebraska is,0.297,0.477,1.606060606,True,critical,html-keyboard-response,49,89516,subject_11,67d993866d1d7516d87e97de,67f556ee7e72bf6aa696a5fc,0.12233687001432414,1,left,0.445711162730733
1340,j,capitals,3,country,Canada,Ottawa,Toronto,What is the capital of Canada?,The capital of Canada is,1.465,6.491,4.430716724,False,critical,html-keyboard-response,51,91862,subject_11,67d993866d1d7516d87e97de,67f556ee7e72bf6aa696a5fc,0.12233687001432414,1,right,-0.7617454132325092
1283,f,capitals,39,state,Vermont,Montpelier,Burlington,What is the capital of Vermont?,The capital of Vermont is,0.0079,0.0444,5.620253165,True,critical,html-keyboard-response,53,94150,subject_11,67d993866d1d7516d87e97de,67f556ee7e72bf6aa696a5fc,0.12233687001432414,1,left,-0.8432916511826334
1869,j,capitals,17,state,Florida,Tallahassee,Jacksonville,What is the capital of Florida?,The capital of Florida is,0.205,1.008,4.917073171,False,critical,html-keyboard-response,55,97037,subject_11,67d993866d1d7516d87e97de,67f556ee7e72bf6aa696a5fc,0.12233687001432414,1,right,-0.004939099625216392
2059,j,capitals,5,country,Morrocco,Rabat,Marrakesh,What is the capital of Morrocco?,The capital of Morrocco is,2.02,1.085,0.5371287129,False,critical,html-keyboard-response,57,100109,subject_11,67d993866d1d7516d87e97de,67f556ee7e72bf6aa696a5fc,0.12233687001432414,1,right,0.2668816935418642
1832,j,capitals,4,country,India,New Delhi,Mumbai,What is the capital of India?,The capital of India is,0.206,22.1,107.2815534,True,critical,html-keyboard-response,59,102950,subject_11,67d993866d1d7516d87e97de,67f556ee7e72bf6aa696a5fc,0.12233687001432414,0,right,-0.05787262250512156
2068,j,capitals,33,state,North Carolina,Raleigh,Charlotte,What is the capital of North Carolina?,The capital of North Carolina is,0.494,0.935,1.892712551,False,critical,html-keyboard-response,61,106023,subject_11,67d993866d1d7516d87e97de,67f556ee7e72bf6aa696a5fc,0.12233687001432414,1,right,0.27975741532346277
3272,f,capitals,24,state,Michigan,Lansing,Detroit,What is the capital of Michigan?,The capital of Michigan is,0.112,0.63,5.625,True,critical,html-keyboard-response,63,110307,subject_11,67d993866d1d7516d87e97de,67f556ee7e72bf6aa696a5fc,0.12233687001432414,1,left,2.002242862550647
2875,f,capitals,13,state,Alaska,Juneau,Anchorage,What is the capital of Alaska?,The capital of Alaska is,0.0311,0.283,9.099678457,True,critical,html-keyboard-response,65,114198,subject_11,67d993866d1d7516d87e97de,67f556ee7e72bf6aa696a5fc,0.12233687001432414,1,left,1.4342804684067998
1052,f,capitals,38,state,Texas,Austin,Houston,What is the capital of Texas?,The capital of Texas is,0.989,2.324,2.349848332,True,critical,html-keyboard-response,67,116253,subject_11,67d993866d1d7516d87e97de,67f556ee7e72bf6aa696a5fc,0.12233687001432414,1,left,-1.173768510243663
1496,j,capitals,37,state,South Dakota,Pierre,Sioux Falls,What is the capital of South Dakota?,The capital of South Dakota is,0.0138,0.215,15.57971014,False,critical,html-keyboard-response,69,118766,subject_11,67d993866d1d7516d87e97de,67f556ee7e72bf6aa696a5fc,0.12233687001432414,1,right,-0.5385662356848009
1993,j,capitals,41,state,Washington,Olympia,Seattle,What is the capital of Washington?,The capital of Washington is,0.0558,0.765,13.70967742,True,critical,html-keyboard-response,71,121763,subject_11,67d993866d1d7516d87e97de,67f556ee7e72bf6aa696a5fc,0.12233687001432414,0,right,0.17245973381014146
1226,f,capitals,16,state,Delaware,Dover,Wilmington,What is the capital of Delaware?,The capital of Delaware is,0.0403,0.0722,1.791563275,True,critical,html-keyboard-response,73,123999,subject_11,67d993866d1d7516d87e97de,67f556ee7e72bf6aa696a5fc,0.12233687001432414,1,left,-0.9248378891327576
1527,f,capitals,18,state,Illinois,Springfield,Chicago,What is the capital of Illinois?,The capital of Illinois is,0.111,2.612,23.53153153,True,critical,html-keyboard-response,75,126534,subject_11,67d993866d1d7516d87e97de,67f556ee7e72bf6aa696a5fc,0.12233687001432414,1,left,-0.49421652732596144
2446,f,capitals,30,state,New Jersey,Trenton,Newark,What is the capital of New Jersey?,The capital of New Jersey is,0.0898,0.306,3.407572383,True,critical,html-keyboard-response,77,129997,subject_11,67d993866d1d7516d87e97de,67f556ee7e72bf6aa696a5fc,0.12233687001432414,1,left,0.820537730150602
1433,j,capitals,28,state,Nevada,Carson City,Las Vegas,What is the capital of Nevada?,The capital of Nevada is,0.0576,0.67,11.63194444,True,critical,html-keyboard-response,79,132438,subject_11,67d993866d1d7516d87e97de,67f556ee7e72bf6aa696a5fc,0.12233687001432414,0,right,-0.6286962881559908
1283,j,capitals,32,state,New York,Albany,New York,What is the capital of New York?,The capital of New York is,0.103,7.937,77.05825243,False,critical,html-keyboard-response,81,134734,subject_11,67d993866d1d7516d87e97de,67f556ee7e72bf6aa696a5fc,0.12233687001432414,1,right,-0.8432916511826334
3637,f,capitals,23,state,Maryland,Annapolis,Baltimore,What is the capital of Maryland?,The capital of Maryland is,0.0403,0.553,13.72208437,True,critical,html-keyboard-response,83,139388,subject_11,67d993866d1d7516d87e97de,67f556ee7e72bf6aa696a5fc,0.12233687001432414,1,left,2.5244249125821443
1628,j,capitals,15,state,Connecticut,Hartford,Bridgeport,What is the capital of Connecticut?,The capital of Connecticut is,0.119,0.148,1.243697479,False,critical,html-keyboard-response,85,142022,subject_11,67d993866d1d7516d87e97de,67f556ee7e72bf6aa696a5fc,0.12233687001432414,1,right,-0.34972231622135547
1048,f,capitals,20,state,Kentucky,Frankfort,Louisville,What is the capital of Kentucky?,The capital of Kentucky is,0.0281,0.617,21.95729537,True,critical,html-keyboard-response,87,144087,subject_11,67d993866d1d7516d87e97de,67f556ee7e72bf6aa696a5fc,0.12233687001432414,1,left,-1.1794910532577068
1939,f,capitals,7,country,Pakistan,Islamabad,Karachi,What is the capital of Pakistan?,The capital of Pakistan is,1.3,18.1,13.92307692,True,critical,html-keyboard-response,89,147044,subject_11,67d993866d1d7516d87e97de,67f556ee7e72bf6aa696a5fc,0.12233687001432414,1,left,0.09520540312055015
1702,f,capitals,20,state,Kentucky,Frankfort,Louisville,What is the capital of Kentucky?,The capital of Kentucky is,0.0281,0.617,21.95729537,True,critical,html-keyboard-response,7,58114,subject_14,67d993866d1d7516d87e97de,67f5520928787542c8c6bebc,0.1851916936155551,1,left,2.5273969233741407
1305,j,capitals,8,country,South Africa,Pretoria,Johannesburg,What is the capital of South Africa?,The capital of South Africa is,3.0,6.4,2.133333333,False,critical,html-keyboard-response,9,60432,subject_14,67d993866d1d7516d87e97de,67f5520928787542c8c6bebc,0.1851916936155551,1,right,1.0210947358508031
935,f,capitals,11,country,United Arab Emirates,Abu Dhabi,Dubai,What is the capital of the United Arab Emirates?,The capital of the United Arab Emirates is,1.6,3.1,1.9375,True,critical,html-keyboard-response,11,62378,subject_14,67d993866d1d7516d87e97de,67f5520928787542c8c6bebc,0.1851916936155551,1,left,-0.3827637260727106
916,j,capitals,28,state,Nevada,Carson City,Las Vegas,What is the capital of Nevada?,The capital of Nevada is,0.0576,0.67,11.63194444,False,critical,html-keyboard-response,13,64307,subject_14,67d993866d1d7516d87e97de,67f5520928787542c8c6bebc,0.1851916936155551,1,right,-0.4548537551985126
996,f,capitals,15,state,Connecticut,Hartford,Bridgeport,What is the capital of Connecticut?,The capital of Connecticut is,0.119,0.148,1.243697479,True,critical,html-keyboard-response,15,66306,subject_14,67d993866d1d7516d87e97de,67f5520928787542c8c6bebc,0.1851916936155551,1,left,-0.15131679045829347
1476,j,capitals,3,country,Canada,Ottawa,Toronto,What is the capital of Canada?,The capital of Canada is,1.465,6.491,4.430716724,False,critical,html-keyboard-response,17,68786,subject_14,67d993866d1d7516d87e97de,67f5520928787542c8c6bebc,0.1851916936155551,1,right,1.6699049979830216
1038,f,capitals,12,state,Alabama,Montgomery,Birmingham,What is the capital of Alabama?,The capital of Alabama is,0.192,0.194,1.010416667,True,critical,html-keyboard-response,19,70831,subject_14,67d993866d1d7516d87e97de,67f5520928787542c8c6bebc,0.1851916936155551,1,left,0.00804011603032161
1099,f,capitals,34,state,North Dakota,Bismarck,Fargo,What is the capital of North Dakota?,The capital of North Dakota is,0.076,0.138,1.815789474,True,critical,html-keyboard-response,21,72943,subject_14,67d993866d1d7516d87e97de,67f5520928787542c8c6bebc,0.1851916936155551,1,left,0.23948705164473874
768,j,capitals,17,state,Florida,Tallahassee,Jacksonville,What is the capital of Florida?,The capital of Florida is,0.205,1.008,4.917073171,False,critical,html-keyboard-response,23,74730,subject_14,67d993866d1d7516d87e97de,67f5520928787542c8c6bebc,0.1851916936155551,1,right,-1.0163971399679181
682,j,capitals,18,state,Illinois,Springfield,Chicago,What is the capital of Illinois?,The capital of Illinois is,0.111,2.612,23.53153153,False,critical,html-keyboard-response,25,76429,subject_14,67d993866d1d7516d87e97de,67f5520928787542c8c6bebc,0.1851916936155551,1,right,-1.3426993770636537
1037,j,capitals,33,state,North Carolina,Raleigh,Charlotte,What is the capital of North Carolina?,The capital of North Carolina is,0.494,0.935,1.892712551,False,critical,html-keyboard-response,27,78479,subject_14,67d993866d1d7516d87e97de,67f5520928787542c8c6bebc,0.1851916936155551,1,right,0.004245903971068871
