model,item_id,condition,exemplar,correct,intuitive,auc_boost_neg,auc_boost_pos,layer_argmax_boost,output_entropy,output_rank_correct,output_logprob_correct,output_logprobdiff,auc_entropy,layer_biggest_change_entropy,auc_rank_correct,layer_biggest_change_rank_correct,auc_logprob_correct,layer_biggest_change_logprob_correct,auc_logprobdiff_pos,auc_logprobdiff_neg,layer_biggest_change_logprobdiff,control_auc_entropy,control_layer_biggest_change_entropy,control_auc_rank_correct,control_layer_biggest_change_rank_correct,control_auc_logprob_correct,control_layer_biggest_change_logprob_correct,control_auc_logprobdiff_pos,control_auc_logprobdiff_neg,control_layer_biggest_change_logprobdiff,exemplar_de
Llama-2-13b-hf,6,Atypical,whale,mammal,fish,70.99350484061505,46.902189594345906,34,3.0005698,0.3333333333333333,-1.9424387,-0.29426569999999996,221.32611369,23,2.067918139240565,37,449.1616964,32,1.0942222,159.77411,32,359.6223655,36,0.008915486671580415,38,520.870146,37,3.0946659999999993,92.600301,37,Wal
Llama-2-13b-hf,7,Typical,alligator,reptile,mammal,16.66358181514922,94.03864672075366,27,2.0047965,0.5,-1.3037508,6.291643199999999,241.5297481,25,6.178199194814884,37,354.44801918,27,143.92605332000002,0.0,27,322.5532139,26,0.0008808795490906054,37,550.2693624999999,4,3.8887230000000006,23.383607500000004,4,Alligator
Llama-2-13b-hf,8,Typical,chameleon,reptile,insect,64.3359010107311,103.22773869628018,27,1.0755942,0.5,-2.1568687,5.962843299999999,241.35233778999998,21,4.6810176012312725,27,366.2936455,27,56.96797330000001,95.995493,27,359.6223655,36,0.011227453036303951,38,499.3512099,0,40.04283259999999,10.325253499999999,37,Chamaeleon
Llama-2-13b-hf,9,Typical,falcon,bird,reptile,17.610098614215495,151.70011727150955,17,1.5558276,1.0,-0.4744586,10.0717894,194.51121708,17,15.663926567425872,17,208.13390592000002,17,369.28752358,0.0,17,359.6223649,36,0.017458199194887496,35,402.816622,1,99.93977349999997,3.4051855999999994,1,Falke
Llama-2-13b-hf,10,Typical,goldfish,fish,amphibian,13.946659362200968,140.20042321736784,24,2.4187698,1.0,-0.81390667,9.88264933,202.10737971999998,19,21.34164364738784,18,173.63494505399999,16,351.012878946,0.30450299999999864,24,359.6223649,36,0.004751059206649422,38,431.364511,0,105.24248,0.06953599999999938,38,Goldfisch
Llama-2-13b-hf,11,Typical,shark,fish,mammal,17.2092497924884,120.89567896840829,25,1.1132421,1.0,-0.18883085,6.838888150000001,228.36697886000002,25,18.999249754575565,23,179.87842229,17,304.32275021,0.0,0,359.6223649,36,0.004751059206649422,38,431.364511,0,92.600301,3.0946659999999993,2,Hai
Llama-2-13b-hf,12,Typical,dog,mammal,insect,34.798064551136356,73.35235222047439,32,2.813704,0.2,-2.7330604,6.109687600000001,205.7678711,17,0.9937461701550809,35,493.1885792,32,47.185175799999996,83.1977735,32,359.6223655,36,0.008915486671580415,38,520.870146,37,32.925209499999994,24.726566500000004,37,Hund
Llama-2-13b-hf,13,Typical,rabbit,mammal,reptile,21.8220189866688,100.29142469565019,32,2.5138881,1.0,-0.77664685,9.88643415,200.85152012,17,4.662502316768505,35,491.11402365,32,128.53812935000002,19.495142,32,359.6223655,36,0.008915486671580415,38,520.870146,37,2.3614289999999976,23.8803651,3,Kaninchen
Llama-2-13b-hf,14,Typical,cat,mammal,reptile,15.987498928756484,82.27031687152189,32,3.0062542,0.2,-2.4589653,7.0695837,210.9164003,17,1.2493833013346747,37,484.8034993,32,99.2087087,25.234989999999996,32,359.6223655,36,0.008915486671580415,38,520.870146,37,2.3614289999999976,23.8803651,3,Katze
Llama-2-13b-hf,15,Typical,rattlesnake,reptile,amphibian,15.845087909725233,55.58348086716852,27,1.7175626,0.125,-5.2697005,5.314134500000001,210.65775696999998,19,0.6389204273168131,37,442.1265729,27,89.4314966,10.840228499999998,27,359.6223655,36,0.011227453036303951,38,499.3512099,0,42.080670600000005,4.8944255000000005,38,Klapperschlange
Llama-2-13b-hf,16,Typical,salmon,fish,mammal,24.487972176687645,160.16610942403074,17,1.2998433,1.0,-0.21535064,8.13567136,174.710728013,17,22.43241922449313,17,151.6301660271,17,421.1472839729,0.0,17,359.6223649,36,0.004751059206649422,38,431.364511,0,92.600301,3.0946659999999993,2,Lachs
Llama-2-13b-hf,17,Typical,lion,mammal,fish,43.85519173706108,49.181032751617224,37,2.6054823,0.25,-3.6151776,2.9117898999999996,209.44193855999998,20,0.9006460604364247,37,483.7532314,37,21.3507966,81.41608000000001,15,359.6223655,36,0.008915486671580415,38,520.870146,37,3.0946659999999993,92.600301,37,Loewe
Llama-2-13b-hf,18,Typical,horse,mammal,bird,55.16491179811172,79.01914559246615,32,3.0507207,0.5,-1.7288969,5.890459699999999,203.18773128,20,3.040030577863525,37,490.21162549999997,32,47.3920736,99.3159898,32,359.6223655,36,0.008915486671580415,38,520.870146,37,2.8314819999999985,120.88500600000002,37,Pferd
Llama-2-13b-hf,19,Typical,sparrow,bird,mammal,26.901397412560282,158.00159095258107,17,1.7193698,1.0,-0.66371423,7.966085769999999,177.25649859,17,23.1384293535096,16,152.92354135699998,16,431.60075314299996,0.0,17,359.6223649,36,0.017458199194887496,35,402.816622,1,120.88500600000002,2.8314819999999985,1,Spatz
Llama-2-70b-hf,1,Atypical,eel,fish,reptile,33.48771875170981,209.92909597908456,44,1.9686459,1.0,-0.63040507,9.02498593,420.27910962500005,44,39.72430575245077,40,334.0079546145,7,663.3187303854999,0.47743699999999833,44,715.0859965,77,0.004839350558027422,6,893.518707,6,65.52797999999999,8.222818,4,Aal
Llama-2-70b-hf,2,Atypical,bat,mammal,bird,82.32705564914188,131.22301337097008,68,4.596436,1.0,-1.674493,2.5465859999999996,466.15368202,43,9.453074329066737,71,789.8695780899999,60,57.57917381,127.03506169999994,68,744.0420993,77,0.014202922815977322,77,950.544175,77,6.3861194999999995,126.44572100000005,77,Fledermaus
Llama-2-70b-hf,3,Atypical,penguin,bird,fish,44.06795587720694,132.51167396356163,44,2.1296089,1.0,-0.61985236,3.9324056400000003,474.36617989999996,44,32.40025874256413,41,393.64784025000006,41,348.84090365000014,0.0,44,744.0420968000001,77,0.012045662572928953,78,830.4845734999999,3,23.152770000000004,11.623441000000001,3,Pinguin
Llama-2-70b-hf,4,Atypical,butterfly,insect,bird,37.711193104809546,166.78981653509592,44,2.437451,1.0,-0.45892677,6.3747529300000005,432.36974555999996,44,39.58788033714777,41,332.215027105,41,499.64298289499993,3.791907000000002,44,744.0420968000001,77,0.004221904190486208,7,925.9809405,7,15.381380499999999,110.87774750000003,6,Schmetterling
Llama-2-70b-hf,5,Atypical,sea lion,mammal,fish,84.61554836425827,89.53071145630182,75,2.451612,0.125,-4.0808144,0.46260859999999937,499.4968524000001,44,1.0133451850485438,75,766.4739136000001,3,31.431377799999993,92.5757886,45,744.0420993,77,0.014202922815977322,77,950.544175,77,2.9837524999999996,111.51402499999996,77,Seeloewe
Llama-2-70b-hf,6,Atypical,whale,mammal,fish,94.11102181980343,118.53071787997364,58,3.466382,0.5,-1.7686514,1.2050516,498.6110182,44,9.263952175369024,73,624.8365009199999,58,77.55679358,67.6373748,58,744.0420993,77,0.014202922815977322,77,950.544175,77,2.9837524999999996,111.51402499999996,77,Wal
Llama-2-70b-hf,7,Typical,alligator,reptile,mammal,43.648542722678314,159.49522888910286,61,2.0560083,1.0,-0.8506394,7.552917599999999,466.42703335,46,14.55807412420318,61,645.68627511,61,340.2703293900001,24.031143000000004,61,715.0859895,77,0.003595421900159425,76,950.8238690000001,1,35.2480455,21.837674,1,Alligator
Llama-2-70b-hf,8,Typical,chameleon,reptile,insect,95.80933439105284,144.90138567822768,57,0.9037918,0.5,-2.597949,5.118390600000001,562.591376514,62,10.429642354040665,66,657.9584382,53,127.21274559999999,141.20136799999997,53,744.0420993,77,0.023050938670908752,78,869.4328325,1,91.73718150000002,35.189073500000006,77,Chamaeleon
Llama-2-70b-hf,9,Typical,falcon,bird,reptile,22.354196701823188,185.30943869533047,44,1.4908259,1.0,-0.33635685,9.17673515,431.83220097000003,41,26.838602888341683,65,399.37770143,41,694.5813200700001,0.0,44,744.0420968000001,77,0.012045662572928953,78,830.4845734999999,3,52.03341099999999,13.085152000000006,3,Falke
Llama-2-70b-hf,10,Typical,goldfish,fish,amphibian,54.65530219448729,182.61818091777525,42,2.6338346,1.0,-1.0894142,7.5891608,483.538003,42,31.90529156862899,44,438.51909943000004,7,494.9279485699999,1.2232019999999988,42,744.0420968000001,77,0.012018261569172368,73,842.0139025,6,88.40458749999999,0.7061640000000011,6,Goldfisch
Llama-2-70b-hf,11,Typical,shark,fish,mammal,43.249681799208076,219.28916980463188,44,1.9938288,1.0,-0.41833004,7.748967960000001,431.55340159,44,36.495661655477534,44,378.148737579,7,594.6491039209998,0.924869000000001,44,744.0420968000001,77,0.012018261569172368,73,842.0139025,6,111.51402499999996,2.9837524999999996,39,Hai
Llama-2-70b-hf,12,Typical,dog,mammal,insect,57.031534571484556,141.63680227107048,68,2.7656922,0.25,-3.4398377,6.983007300000001,512.2910967999999,44,2.3867133238127636,75,748.1306050000001,68,198.20586150000003,27.33911650000001,68,744.0420993,77,0.014202922815977322,77,950.544175,77,44.0718285,68.63506300000002,77,Hund
Llama-2-70b-hf,13,Typical,rabbit,mammal,reptile,26.568125923139064,156.9988659731074,68,2.6827939,1.0,-0.81255734,8.727758660000001,435.09184531,44,10.092674488633557,72,737.795269144,68,288.083106856,3.2360275000000005,68,744.0420993,77,0.014202922815977322,77,950.544175,77,0.2533535000000011,81.36469599999998,4,Kaninchen
Llama-2-70b-hf,14,Typical,cat,mammal,reptile,32.29061857868425,109.69191285171902,68,3.3452792,0.16666666666666666,-3.3502412,5.278153799999999,463.75279857,44,2.206352285978185,76,796.800293,16,164.81573400000005,8.8830285,68,744.0420993,77,0.014202922815977322,77,950.544175,77,0.2533535000000011,81.36469599999998,4,Katze
Llama-2-70b-hf,15,Typical,rattlesnake,reptile,amphibian,26.008294030449743,92.03272176550652,47,2.0520658,0.14285714285714285,-4.5411034,5.752862599999999,464.70730362000006,44,1.48228806852506,75,848.994531,3,201.59792599999997,8.728896999999998,16,744.0420993,77,0.023050938670908752,78,869.4328325,1,69.641608,9.362114500000002,78,Klapperschlange
Llama-2-70b-hf,16,Typical,salmon,fish,mammal,50.25986052264519,190.49031989575317,44,1.9141673,1.0,-0.41333973,6.691346970000001,433.01204521,44,43.605345233217584,7,315.17103054700004,7,653.0043746529999,0.14627699999999955,44,744.0420968000001,77,0.012018261569172368,73,842.0139025,6,111.51402499999996,2.9837524999999996,39,Lachs
Llama-2-70b-hf,17,Typical,lion,mammal,fish,56.44375440088069,114.37798267327891,68,2.3561225,0.1111111111111111,-5.2453475,3.141623,469.84481987999993,44,0.7332701638532423,75,833.8820203,68,134.8029457,6.645473500000003,16,744.0420993,77,0.014202922815977322,77,950.544175,77,2.9837524999999996,111.51402499999996,77,Loewe
Llama-2-70b-hf,18,Typical,horse,mammal,bird,53.682653029950345,120.20754713042653,68,3.4166956,0.25,-3.7245321,4.6266929,521.9432921,44,1.429606996516191,76,771.6580643,68,158.31698069999996,20.198401999999994,68,744.0420993,77,0.014202922815977322,77,950.544175,77,6.3861194999999995,126.44572100000005,77,Pferd
Llama-2-70b-hf,19,Typical,sparrow,bird,mammal,63.58620123030039,222.41591064384968,44,1.7625461,1.0,-0.68798536,7.898813639999999,426.77469533,41,33.003769829153775,41,364.53515736400004,41,714.419033636,0.0,44,744.0420968000001,77,0.012045662572928953,78,830.4845734999999,3,126.44572100000005,6.3861194999999995,3,Spatz
